'a'la'ba'si'tan 阿拉巴斯坦
'a'xiu'luo 阿修罗
'ai'gu 哀股
'ai'ni'lu 艾尼路
'ai'si 艾斯
'ao'zi 奥兹
'ba'ji 巴基
'ba'qi 巴其
'bai'ba'fan'nao'feng 百八烦恼凤
'bai'ba'fan'nao'feng 百八烦恼风
'bai'hu'zi 白胡子
'bi'bi 比比
'bi'na'mei 比拿美
'bo'er'te'zao'fei'chan 博尔特遭飞铲
'bu'lu'ke 布鲁克
'cao'mao'xiao'zi 草帽小子
'chao'ren'xi'guo'shi 超人系果实
'chen'wan'heng 陈婉衡
'chi'huan'guo'shi 迟缓果实
'chi'la'cheng'shi'pai'hang 吃辣城市排行
'chi'quan 赤犬
'chun'ren 春人
'ci'die 刺蝶
'ci'ke'nie'yin'niang 刺客聂隐娘
'da'bing 打兵
'da'can 大残
'da'jiang 大将
'da'si'qi 达斯琪
'dong'li 东利
'dong'wu'xi'guo'shi 动物系果实
'du'jiao'lao'tai 独角老太
'du'she'rao'jing 毒蛇绕颈
'duo'la'ge 多拉格
'duo'li'er 朵丽儿
'duo'li'er'yi'niang 朵丽儿医娘
'e'mo'guo'shi 恶魔果实
'er'dang 二档
'feng'bao'guo'shi 风暴果实
'fu'lan'ke 弗兰克
'fu'lan'qi 弗兰奇
'fu'lang'ji 弗朗基
'gong'cheng'pao 攻城炮
'gong'fu'hai'gui 功夫海龟
'gong'li'san'jin 功力散尽
'gu'yi'na 古伊娜
'gui'che 鬼彻
'gui'kan 鬼砍
'gui'zai 鬼仔
'hai'lie'che 海列车
'he'dao'yi'wen'zi 和道一文字
'he'di'mu'zang 河底墓葬
'hei'an'guo'shi 黑暗果实
'hei'hu'zi 黑胡子
'hei'mu'xiang 黑木香
'hong'bi'zi 红鼻子
'hong'fa 红发
'hong'fa'sa'gu'si 红发撒古斯
'hong'fa'xiang'ke'si 红发香克斯
'hong'gui 红鬼
'hong'tu'da'lu 红土大陆
'hua'hua'guo'shi 花花果实
'hua'liu'liu'guo'shi 滑溜溜果实
'huang'jin'mei'li'hao 黄金梅丽号
'huang'quan'guo'shi 黄泉果实
'huang'yuan 黄猿
'huo'quan 火拳
'jian'lao'guo'shi 监牢果实
'jiang'shi'dai'shu 僵尸袋鼠
'ju'ren'zu 巨人族
'jun'hou 军猴
'ka'li'fa 卡里法
'ka'pu 卡普
'ke'luo'ke'da'er 克洛克达尔
'kong'dao 空岛
'ku'lou'ren 骷髅人
'kuai'tou 快投
'kuai'zhan'guo'shi 快斩果实
'la'zhu'guo'shi 蜡烛果实
'lan'jiao 岚脚
'li'shi'zheng'wen 历史正文
'liu'shi 六式
'lu'fei 路飞
'lu'fei'hai'zei'tuan 路飞海贼团
'lu'fu 鲁夫
'lu'jiu 露玖
'lu'qi 路奇
'luo'bin 罗宾
'luo'jie 罗杰
'luo'ke 洛克
'luo'ke'chuan'zhang 洛克船长
'luo'luo'nuo'ya'suo'long 罗罗诺亚索隆
'ma'ma'guo'shi 马马果实
'ma'pi'zao'qiu 马匹遭囚
'mai'xing'da'shu 麥形大叔
'mao'mao'guo'shi 猫猫果实
'mao'tou'ying 猫头鹰
'mao'yan'nan 冒烟男
'mei'li 梅丽
'men'men'guo'shi 门门果实
'meng'qi 蒙奇
'ming'wang 冥王
'ming'xing'chang'cuo'de'ge'ci 明星唱错的歌词
'mo'fang'guo'shi 模仿果实
'mo'li'ya 莫里亚
'na'mei 娜美
'nai'mei 奈美
'neng'li'zhe 能力者
'ni'ke'luo'bin 妮可罗宾
'nv'yi 女一
'pao'de'kuai 跑得快
'pao'pao'guo'shi 泡泡果实
'pian'ren'bu 骗人布
'qi'shui'zhi'du 七水之都
'qi'wu'hai 七武海
'qiao'ba 乔巴
'qiao'qiao'hua'guo'shi 悄悄话果实
'qing'gui 青鬼
'qing'piao'piao'guo'shi 轻飘飘果实
'qing'zhi 青雉
'qiu'shui 秋水
'ren'ou'guo'shi 人偶果实
'sa'gu'si 撒古斯
'san'cheng'ji 三城记
'san'dai'gui'che 三代鬼彻
'san'dan'qiang 散弹枪
'san'dang 三档
'san'dao'liu 三刀流
'san'qian'shi'jie 三千世界
'sha'mo'ri'guang'yu 沙漠日光浴
'sha'sha'guo'shi 沙沙果实
'shan'zhi 山治
'shao'jing 烧经
'shi'dao'jin'yu 食岛金鱼
'shi'jie'zheng'fu 世界政府
'shi'ren'mo'nai'nai 食人魔奶奶
'shi'xue'zheng 噬血症
'shou'yan 兽严
'si'huang 四皇
'si'mo'ka 斯莫卡
'suo'long 索隆
'tan'huang'guo'shi 弹簧果实
'tao'ka'wang 淘卡网
'tian'shi'dao 天使岛
'tiao'xin'shi'mu 挑衅师母
'tie'kuai 铁块
'tun'tun'guo'shi 吞吞果实
'tuo'ni'tuo'ni'qiao'ba 托尼托尼乔巴
'wang'luo'zhi'fu'xin'gui 网络支付新规
'wei'da'hang'lu 伟大航路
'wei'shi'ji'shan'feng 威士忌山峰
'wei'tian 尾田
'wei'wei 微微
'wu'lao'xing 五老星
'wu'suo'pu 乌索普
'xi'lu'lu'ke'yi'sheng 希鲁鲁克医生
'xi'rui 嘻芮
'xiang'ji'shi 香吉士
'xiang'jiao'guo'shi 橡胶果实
'xiang'ke'si 香克斯
'xiang'lei'guo'shi 响雷果实
'xiang'pi'guo'shi 橡皮果实
'xin'zhong'xiao'xue'sheng'shou'ze 新中小学生守则
'xing'xue'yuan 星学院
'xiong'mao'ren 熊猫人
'xuan'ya'hou'kong'fan 悬崖后空翻
'xuan'zhuang 炫装
'xue'zou 雪走
'yan'wu'guo'shi 烟雾果实
'yang'guang'wan'li'hao 阳光万里号
'ye'jin 夜瑾
'ye'su'bu 耶稣布
'yi'dang 一档
'yi'wu'yin 一雾银
'ying'yan 鹰眼
'ying'yan'mi'huo'ke 鹰眼米霍克
'you'ba 由巴
'you'lian'guo'shi 鼬镰果实
'yu'jian'luo'mi'ou 御剑罗密欧
'yu'ren'zu 鱼人族
'yue'bu 月步
'yue'guang'mo'li'ya 月光莫里亚
'yue'qi 约起
'zhai'bei'bei 翟蓓蓓
'zhan'fu 战斧
'zhao'gui 招鬼
'zhao'pian 照骗
'zhi'hui 纸绘
'zhi'qiang 指枪
'zhi'tong 指统
'zhi'zhu'bao'zha 蜘蛛爆炸
'zhong'guo'ai'gu 中国哀股
'zhong'jiang 中将
'zhou'xiao'peng 周晓鹏
'zhuo'luo 卓洛
'zhuo'xin 灼心
'zi'ran'xi'guo'shi 自然系果实
'zui'xin'suan'jiao'ban 最心酸交班
'zuo'shou'pi'dao 左手劈刀
