'ba'yun 八云
'cha'feng'lin 茶风林
'guan'zhi'yi 关智一
'hei'dao'da'ge 黒道大哥
'jia'lai'kang'zhi 加濑康之
'jia'zhong'hong 家中宏
'ju'bi'gu 菊比古
'li'chuan 立川
'lin'jia'xin'ping 林家新平
'lin'yuan'hui 林原惠
'mei'dai'ji 美代吉
'niu'shan'mao 牛山茂
'shan'kou'sheng'ping 山口胜平
'shan'si'hong'yi 山寺宏一
'shi'tian'zhang 石田彰
'si'shen 死神
'song'tian 松田
'tai'lang 太郎
'wan'sui 万岁
'wan'yue 万月
'xiao'lin'sha'miao 小林沙苗
'xiao'lin'you 小林优
'xiao'xia 小夏
'xu'teng'xiang 须藤翔
'you'lao'ting'ba'yun 有乐亭八云
'you'zuo'hao'er 游佐浩二
'yu'tai'lang 与太郎
'yun'tian'qing'zi 云田晴子
'zhao'he'yuan'lu'luo'yu'xin'zhong 昭和元禄落语心中
'zhu'liu 助六
