'a'ka'liu'si'zhi'dun 阿喀琉斯之盾
'a'lan 阿岚
'ai'lu'bi 艾露比
'ai'miu'sha 爱缪莎
'ai'zhi'jian 爱之箭
'an'de'zao'can 安的早餐
'an'hei'liao'li 暗黑料理
'an'tuo 安托
'an'tuo'ji'neng 安托技能
'an'tuo'nie'wa 安托涅瓦
'an'tuo'nie'wa'de'huo'hai 安妥涅瓦的活骸
'an'yuan'yang'gui 安元洋贵
'an'zhuan'shu'zi'se'ying'zhuang 安专属紫色影装
'ao'cun'xiang 奥村翔
'ao'jiao'dao'shen 傲娇刀神
'ao'lu'xi'ya 奥露西娅
'ba'dao 拔刀
'bai'bao 百爆
'bai'qi 白棋
'bai'xi 百吸
'bai'zhi'shou'yu 白之守御
'ban'ben'zhen'ling 坂本真绫
'ban'hui'mie'zhi'yan 半毁灭之眼
'ban'ying'yu'guan 半鹰羽冠
'bao'ji'lv 暴击率
'bei'si'di 贝斯蒂
'bing'jiao'xiao'mei 病娇小妹
'bu'gei'xiang 补给箱
'chen'shui 沉睡
'chi'hai 赤骸
'chi'qing'wang'zhe 痴情王者
'chuan'cheng'ling'zi 川澄绫子
'chuan'jing'xian'ci 川井宪次
'da'er'wei'la 达尔维拉
'da'ge 达格
'da'guo'pai'ji 大锅拍击
'da'tong'xue'yuan 打通学院
'da'zhao 大招
'dao'hai 刀骸
'ding'gong'li'hui 钉宫理惠
'dong'fang 东方
'dong'fang'gu'jie 东方古街
'du'bian'you'li'nai 渡边优里奈
'du'shi'huan'xiang 都市幻想
'dui'yi 对弈
'dun'pai'meng'ji 盾牌猛击
'duo'luo'hei'yi 堕落黑翼
'duo'zhou'mu 多周目
'e'gui'zhao'lai 恶鬼召来
'er'ji'neng 二技能
'er'zhou'mu 二周目
'fa'qiang 法强
'fan'quan'de'xiu'jue 番犬的嗅觉
'fang'yu 防御
'fen'lie 分裂
'fo'qian'shi'bo 佛前石钵
'fu'jia'te'xiao 附加特效
'fu'jian'mei'ling 富樫美铃
'fu'lan'ke'li'si 弗兰克丽丝
'fu'luo'la 芙罗拉
'fu'zhu 辅助
'gao'jie 高阶
'gao'xiao'xue'yuan 高校学院
'gao'ye'ma'li'jia 高野麻里佳
'ge'wu'ji'ding 歌舞伎町
'gou'wu'zhong'xin 购物中心
'gu'jie 古街
'gu'jie'wen'zi 古街雯梓
'gua'ji'wan'fa 挂机玩法
'guan'jiu 灌酒
'guang'rong'nv'pu 光荣女仆
'guang'zhi'fu'you 光之蜉蝣
'guang'zhi'hu'dun 光之护盾
'guang'zhi'jiu 光之酒
'hai'wan'a'lan 海湾阿岚
'he'lu'si'zhi'yan 荷鲁斯之眼
'hei'men'shi'jian 黑门事件
'hei'zhi'gong'shi 黑之攻势
'hei'zi'ling'yu 黑子领域
'hen'zhi'jian 恨之箭
'hu'che 虎彻
'hu'die'xiong'zhen 蝴蝶胸针
'hua'ze'xiang'cai 花泽香菜
'huan'li 幻力
'huang'jin'ping'guo 黄金苹果
'hui'mie'zhi'a'bo'fei'si 毁灭之阿波菲斯
'hui'mie'zhi'yan 毁灭之眼
'hui'su'jie'kong 回溯解控
'hun'dun'zhong 混沌钟
'huo'shu'qiu 火鼠裘
'ji'le'jing'tu 极乐净土
'ji'yi'dian'tang 记忆殿堂
'jia'er 珈儿
'jia'lou'luo'zhi'yu 迦楼罗之羽
'jian'ji'luan'wu 剑技乱舞
'jian'ren'luan'wu 剑刃乱舞
'jian'shi'de'zhan'dou 剑士的战斗
'jian'zao'li 建造力
'jin'bi 金币
'jiu'cheng'ai'lu'bi 旧城艾露比
'jiu'cheng'wei'la 旧城薇拉
'jue'dou 决斗
'kai'qi'lun'hui 开启轮回
'ku'jiang'you'yi 堀江由衣
'kuang'bao'zhi'hai 狂暴之海
'la'ji'shi'jian 垃圾时间
'lai'ao'si 莱奥斯
'lai'you'yi 濑由衣
'lei'qie'er 雷切尔
'lei'wa'ting 雷瓦汀
'li'hua'shen'zhi'jie 立花慎之介
'li'luo 罹落
'li'ruo'yin 李若胤
'li'wei'li'tan 利维丽坦
'lian'fa'lv 连发率
'ling'hun'sui'pian 灵魂碎片
'liu'zhou'mu 六周目
'long'tou'zhu'yu 龙头珠玉
'lu'jiao'shen'jing'quan 鹿角神颈圈
'lun'hui'zhi'lu 轮回之路
'luo'na'ke 罗纳克
'mi'la 米菈
'mi'shi'yu'ai'yi'zhong 迷失于爱意中
'ming'yun'lun'pan 命运轮盘
'mu'ya 穆娅
'nai'you'dan'gao 奶油蛋糕
'nei'tian'zhen'li 内田真礼
'neng'deng'ma'mei'zi 能登麻美子
'ni'wei 妮维
'nv'qi'shi 女棋士
'ou'po 欧珀
'pai'zhao'de'mei'li 拍照的魅力
'ping'min'tong'guan'gong'lue 平民通关攻略
'qi'ri'lun'hui 七日轮回
'qi'zhou'mu 七周目
'qian'neng'beng'fa 潜能迸发
'qian'ru 潜入
'qian'ru'ce'shi 潜入测试
'qian'ye'zhi'zhao 前野智昭
'qian'zao'shi'ge 千藻诗歌
'qiang'li'fu'zhu 强力辅助
'qiang'li'kong'zhi 强力控制
'qiang'li'nai'ma 强力奶妈
'qie'pai'sheng'shou 切牌圣手
'qun'shang 群伤
'rang'xian 让先
