'a'bo 阿渤
'ai'de'jia 艾德加
'ai'er'pu'li'mo 艾尔普里莫
'ai'mei 艾魅
'ba'li 巴利
'bai'lun 拜伦
'bao'po'mai'ke 爆破麦克
'bao'shi 宝石
'bao'shi'zheng'ba 宝石争霸
'bei'er 贝尔
'bei'shu 杯数
'bei'ya 贝亚
'bi'bi 比比
'bi'te 比特
'bo'ke 波克
'bu'luo'ke 布洛克
'cha'tu 差图
'cha'yi'dian 差一点
'cha'yi'dian'shu 差一点输
'cha'yi'dian'ying 差一点赢
'cha'yi'si'xue 差一丝血
'chan'shi'fu 铲师傅
'chan'shi'fu'bie'gua'la 铲师傅别刮啦
'chan'zi 铲子
'cheng'shi 城市
'chuan'qiu 传球
'da'chui 大锤
'da'ji'jia 大机甲
'da'ji'qi'ren 打机器人
'da'li'er 达里尔
'da'ma 大妈
'da'zhao 大招
'dan'ji 单鸡
'dan'ren'chi'ji 单人吃鸡
'dan'ren'huang'ye 单人荒野
'dan'ren'huang'ye'jue'dou 单人荒野决斗
'dao'mu'zhi 倒拇指
'di'ke 迪克
'di'tu'bian'ji'qi 地图编辑器
'er'gou'zi 二狗子
'er'lian'tiao 二连跳
'fan'shui 反水
'fu'lan'ken 弗兰肯
'ge'bao'shi 个宝石
'ge'er 格尔
'ge'ye 格爷
'gong'niu 公牛
'gong'zhu 公主
'gua'sha'shang'hai 刮痧伤害
'gua'sha'shi'fu 刮痧师傅
'guai'shou 怪兽
'guai'shou'da'bao'zou 怪兽大暴走
'hao'ren 好人
'hao'tu 好图
'hei'pai 黑牌
'hei'ya 黑鸦
'hong'pai 红牌
'hou'zi 猴子
'hu'po 琥珀
'ji'di 基地
'ji'en 吉恩
'ji'he'qiu 几何球
'ji'he'she'men 几何射门
'ji'jia 机甲
'ji'jia'gong'jian 机甲攻坚
'ji'jia'ru'qin 机甲入侵
'jiang'bei 奖杯
'jie'xi 杰西
'jin'bi 金币
'jin'ku 金库
'jin'ku'gong'fang 金库攻防
'jin'qiu 进球
'jiu'bao 酒保
'ka'er 卡尔
'ke'er'te 柯尔特
'ke'lai'te 科莱特
'kong'bai'di'tu 空白地图
'la'fu 拉夫
'la'fu'shang'xiao 拉夫上校
'la'ji'di'tu 垃圾地图
'lan'pai 蓝牌
'lan'xing 蓝星
'lao'ba 老八
'li'ang 里昂
'lian'da 连大
'liang'xin'di'tu 良心地图
'liu'lang'zhe 流浪者
'luan'dou'zu'qiu 乱斗足球
'luo'sha 罗莎
'lv'pai 绿牌
'mai'ke'si 麦克斯
'mi'feng 蜜蜂
'mi'feng'lao'po 蜜蜂老婆
'miao'ju 妙具
'miao'ju'ri'qiang 妙具日墙
'mo'gu 蘑菇
'mo'shi 模式
'mo'ti'si 莫提斯
'mu'niu 母牛
'na'ni 纳妮
'ni'die 你爹
'ni'ta 妮塔
'niu'zhan'shi 牛战士
'pa'mu 帕姆
'pan'ni 潘妮
'pei'pei 佩佩
'pi'fu 皮肤
'ping'ju 平局
'qiang'bao'shi 抢宝石
'qiang'ti 墙体
'quan'si 全死
're'qu 热区
're'qu'zheng'duo 热区争夺
'ri'qiang 日墙
'rui'ke 瑞科
'san'ge'bi'te 三个比特
'san'jie'xi 三杰西
'san'lao'ba 三老八
'san'lian'tiao 三连跳
'san'pa'mu 三帕姆
'san'xiong'gui 三兄贵
'se'die 瑟爹
'se'qi 瑟奇
'sha'di 沙迪
'shang'jin 赏金
'shang'jin'lie'ren 赏金猎人
'she'men 射门
'she'you'fan'zi 蛇油贩子
'shi'ge'bao'shi 十个宝石
'shi'wan'di'tu 试玩地图
'shou'ling 首领
'shou'ling'zhi'zhan 首领之战
'shuai'jiao'shou 摔跤手
'shuang'ji 双鸡
'shuang'ren'chi'ji 双人吃鸡
'shuang'ren'huang'ye 双人荒野
'shuang'ren'huang'ye'jue'dou 双人荒野决斗
'si'ma'di'tu 司马地图
'si'ma'ya 司马鸦
'si'pai'ke 斯派克
'si'pai'ke'miao'sha 斯派克秒杀
'si'tu 司徒
'si'tu 斯图
'song'ren'tou 送人头
'sui'shen'miao'ju 随身妙具
'ta'la 塔拉
'tan'cao 探草
'tan'cao'cong 探草丛
'tian'xuan 天选
'tian'xuan'ying'xiong 天选英雄
'tian'xuan'zhi'zhan 天选之战
'tong'zi 桶子
'tou'jia 偷家
'tou'jia'liu 偷家流
'wang'si'tu 王司徒
'wei'jin 围巾
'xi'gua 西瓜
'xian'ren'zhang 仙人掌
'xian'sheng 先生
'xiang'pi'ren 橡皮人
'xiao'la'jiao 小辣椒
'xiao'luo 小罗
'xiao'mi'feng 小蜜蜂
'xing'guang'dian 星光点
'xing'hui 星辉
'xing'hui'zhi'li 星辉之力
'xiong'mei 熊妹
'xue'li 雪莉
'xue'li'wu'xian'da 雪莉无限大
'ya'qi 雅琪
'ya'ya 芽芽
'yi'xian'sheng'ji 一线生机
'yi'xian'sheng'ji 亿线生机
'yin'jian'di'tu 阴间地图
'yin'jian'tu 阴间图
'yin'liao 饮料
'yong'xin'di'tu 用心地图
'you'yi'zhan 友谊战
'yun'shi 陨石
'zhan'dian 占点
'zhan'dui 战队
'zhuan'quan 转圈
'zi'pai 紫牌
'zu'an'zuan'tou 祖安钻头
'zu'dui 组队
'zu'qiu 足球
'zuan'tou 钻头
'zuo'tu 做图
