'bei'ci 背刺
'ben'zi 本子
'bing'feng'gong'cheng 冰封工程
'bu'yao'song 不要怂
'dao'dan 导弹
'dao'feng 刀锋
'du'nai 毒奶
'dui'mian'you'ben 对面有本
'dun'nai 盾奶
'ge'dou'dao 格斗刀
'gong'cheng 工程
'gong'cheng'bu'gei 工程补给
'hou'mian'da'bu'dui 后面大部队
'hou'mian'dao'feng 后面刀锋
'hou'mian'hou'zi 后面猴子
'hou'mian'you'ren 后面有人
'hou'zi 猴子
'huang'jin'xi'lie 黄金系列
'huo'biao 火表
'ji'qiang'ding'shang'qu 机枪顶上去
'ji'qiang'kai'dun'shang'qu 机枪开盾上去
'jia'li'you'ren 家里有人
'ju'ji 狙击
'kuai'xia'bao 快下包
'lie'yan'hu'ju 烈焰护菊
'mu'hou 母猴
'mu'ju 母狙
'nai'ba 奶爸
'nai'ma 奶妈
'nai'ma'nai'wo 奶妈奶我
'qiu'nai 求奶
'shuang'qiang 双枪
'shui'jing'xi'lie 水晶系列
'wo'fang'you'ben 我方有本
'xiao'xin'dao'feng 小心刀锋
'xiao'xin'ju'ji 小心狙击
'xiao'xin'pao'tai 小心炮台
'xue'nai 血奶
'you'ren'yin'shen'le 有人隐身了
'zhan'dou'nai 战斗奶
