'a'wei 阿魏
'ai'dong'hua 艾冬花
'ai'hao 艾蒿
'an'gui 安桂
'an'ling 安苓
'ba'ji'tian 巴戟天
'ba'mi 巴米
'ba'qia 菝葜
'ba'yue'zha 八月札
'bai'chong'cang 百虫仓
'bai'gan'can 白干参
'bai'hua'jing 百花精
'bai'ji'er 白鸡儿
'bai'jiang 白姜
'bai'li'ke 白蜊壳
'bai'mao'teng 白毛藤
'bai'nai'gen 百奶根
'bai'pi 柏皮
'bai'shen 白参
'bai'tiao'gen 百条根
'bai'tou'gong 白头公
'bai'yao'zi 白药子
'bai'zhu 白术
'bai'zi'ren 柏子仁
'bai'zu 百足
'ban'bian'hua 半边花
'ban'hao 班蚝
'ban'mao 斑毛
'ban'mao 斑猫
'ban'mao 斑蝥
'ban'mian'hua 半面花
'ban'xiang'hua 半向花
'ban'zhi'lian 半枝莲
'ban'zhuang'gen 斑庄根
'bang'hua 蚌花
'bang'zhu 蚌珠
'bao'fu'hua 包袱花
'bao'yi 胞衣
'beng'da'wan 崩大碗
'bi'ba 荜茇
'bi'cheng'qie 荜澄茄
'bi'guan'cai 笔管菜
'bi'ji 鼻荠
'bi'qi 荸荠
'bi'tou'cao 笔头草
'bi'xie 萆薢
'bi'yi 愊臆
'bian'di'xiang 遍地香
'bian'fu'ci 蝙蝠刺
'bian'tiao'can 边条参
'bian'xu 萹蓄
'bian'zhu 扁竹
'bie'gai 鳖盖
'bie'jia 鳖甲
'bing'gan'zi 病柑子
'bing'lang 槟榔
'bing'lang'pi 槟榔皮
'bing'qiu'zi 冰球子
'bing'tou'cao 并头草
'bo'gui 薄桂
'bo'he 薄荷
'bo'ji'chong 簸箕虫
'bu'chou 不瘳
'bu'lao'cao 不老草
'can'sha 蚕砂
'cang'er'ren 苍耳仁
'cang'zhu 苍术
'cao'bei 草贝
'cao'he'che 草河车
'cao'zhu'er 草珠儿
'ce'bai'ye 侧柏叶
'ce'er'gen 侧耳根
'cen'cao 岑草
'chai'ge 柴葛
'chan'qiao 蝉壳
'chan'su 蟾酥
'chan'tui 蝉蜕
