'a'lai'duo'ni'luo'de'er 阿莱多尼罗德尔
'a'pa'qi 阿帕契
'a'san'jing'lian'ci 阿散井恋次
'ai'chuan'luo'wu 爱川罗武
'ai'duo'la'de 艾多拉德
'ai'lu'lu'ye'li 艾鲁鲁耶利
'ai'si'ling'ka 艾斯灵卡
'bai'da 白打
'bai'fu 白伏
'bai'le'gang 拜勒岗
'bai'lei 白雷
'ban'mu'yi'jiao 斑目一角
'ban'xu 半虚
'bao'feng'nan'jue 暴风男爵
'bao'wang 豹王
'ben'jiang'qian'he 本匠千鹤
'beng'dian 崩点
'bi'ju'ru'dao 比巨入道
'bing'lun'wan 冰轮丸
'bo'cun'zuo'zhen 狛村左阵
'cang'huo'zhui 苍火坠
'cang'jiao'wang'zi 苍角王子
'cang'ren 藏人
'cao'lu'ba'qian'liu 草鹿八千流
'cha'du'tai'hu 茶渡泰虎
'cha'zhu 侘助
'che'lun'tie'yan 车轮铁燕
'cheng'ling'ting 瀞灵廷
'chi'huo'pao 赤火炮
'chu'sen'tao 雏森桃
'chuan'dian 穿点
'chuan'jie'men 穿界门
'chuan'ling'bu 传令部
'chun'gui 椿鬼
'cong'shu'guan 从属官
'da'dao'li'yi 大岛丽一
'da'hong'lian'bing'lun'wan 大红莲冰轮丸
'da'lu'ke 达鲁克
'dai'si'la 戴斯拉
'de'mo'wu'la 德莫乌拉
'di'fu'ling 地缚灵
'di'luo'yi 迪罗伊
'di'san'xi 第三席
'di'san'xi'guan 第三席官
'di'si'xi 第四席
'di'si'xi'guan 第四席官
'di'wu'xi'guan 第五席官
'dong'de'qia'ka 冬德恰卡
'dong'si'tan 冬斯坦
'dong'xian'yao 东仙要
'dong'yun 冻云
'du'yan'zhao 独眼罩
'duan'cang'wan 断蔵丸
'duan'di'feng 断地风
'duan'jie 断界
'duan'kong 断空
'duan'zuo'shuang'tian 端坐霜天
'dui'ling'zi'de'li'shu 对灵子的隶属
'dui'ling'zi'de'shou'shu 对灵子的收束
'dun'shun'liu'hua 盾舜六花
'duo'er'duo'ni 多尔多尼
'e'mo'de'zuo'bi 恶魔的左臂
'fan'gui'xiang'sha 反鬼相杀
'fan'mo 反膜
'fan'mo'zhi'fei 反膜之匪
'fang'po'mian 仿破面
'fei'fei'wang'she'wei'wan 狒狒王蛇尾丸
'fei'lian'jiao 飞镰脚
'fei'long'ji'zei'zhen'tian'lei'pao 飞龙击贼震天雷炮
'fei'mei 飞梅
'fei'yan 废炎
'feng'qiao'lou'shi'lang 凤桥楼十郎
'feng'shao'ling 蜂梢绫
'feng'si 风死
'fo'rui'de 佛瑞德
'fu'dao 缚道
'fu'zhu'shi'si'lang 浮竹十四郎
'gai'zao'hun'po 改造魂魄
'gang'pi 钢皮
'gang'teng'bai'en 刚腾拜恩
'ge'de 歌德
'ge'li'mu'qiao 葛力姆乔
'geng'mu'jian'ba 更木剑八
'gu'de'yun'te 古德云特
'gu'he'gang 古贺刚
'gu'lan'zi 古兰兹
'guai'zhi'zhui'que 掴趾追雀
'gui'dao 鬼道
'gui'dao'zhong 鬼道众
'gui'deng'wan 鬼灯丸
'gui'ren 归刃
'gui'zuo'mu'xiu'bing 桧佐木修兵
'guo'zhi'ling 国枝铃
'he 赫
'he'li'bei'er 赫丽贝儿
'hei'guan 黑棺
'hei'qi'xia'li 黑崎夏梨
'hei'qi'yi'hu 黑崎一护
'hei'qi'yi'xin 黑崎一心
'hei'qi'you'zi 黑崎游子
'hei'qi'zhen'xiao 黑崎真咲
'hei'sheng'tian'qian'ming'wang 黑绳天谴明王
'hu'che'qing'yin 虎彻清音
'hu'che'yong'yin 虎彻勇音
'hu'ting'shi'san'dui 护廷十三队
'hu'wan 瓠丸
'hua'feng'luan'hua'shen'ti 花风乱花神啼
'hua'he'she'fa 花鹤射法
'hua'tian'kuang'gu 花天狂骨
'hua'yi'shen'tai 花刈甚太
'huang'juan'zhen'mu'zao 荒卷真木造
'hui'mao 灰猫
'hui'sheng 灰绳
'hun'xi 魂吸
'hun'zang 魂葬
'huo'shan'mu 火山姆
'huo'shan'shou 火山兽
'huo'wu'ju 火无菊
'ji'er'jia 吉尔加
'ji'li'an 基力安
'ji'liang'yi'he 吉良伊鹤
'jia'ka'jie'ke 贾卡杰克
'jian'ba 剑八
'jian'gen'xian'sheng 键根先生
'jie'chu'xian'ding 解除限定
'jie'fang'yu 解放语
'jin'di'zhe'sha 尽敌蛰杀
'jin'se'pi'sha'di'zang 金色疋杀地藏
'jin'yan 金彦
'jing'hua'shui'yue 镜花水月
'jing'le'chun'shui 京乐春水
'jing'ling'bi 静灵壁
'jing'men 镜门
'jing'shang'zhi'ji 井上织姬
'jing'shen'ti 精神体
'jing'zi 京紫
'jiu'nan'bai 久南白
'ju'liu 拘流
'ju'tu 拘突
'ju'zhi'hua'kai 拘之花开
'ka'di'xie 卡迪谢
'kong'jian'zhuan'wei 空间转位
'lan'ran'zong'you'jie 蓝染惣右介
'lei'hou'pao 雷吼炮
'li'ji 理吉
'li'li 莉莉
'li'li'sun 莉莉荪
'li'ling 莉玲
'li'ou'ni'si 里欧尼斯
'li'zi 丽滋
'liang'cha'se 亮茶色
'lie'hua 捩花
'ling'lai'chuan'gong'qin 绫濑川弓亲
'ling'luo 灵络
'ling'qi'shi 羚骑士
'ling'zhu'he 灵珠核
'ling'zi'zhuan'huan'ji 灵子转换机
'liu'che'quan'xi 六车拳西
'liu'li'kong'que 琉璃孔雀
'liu'ren'ruo'huo 流刃若火
'liu'zhang'guang'lao 六杖光牢
'long'quan 龙拳
'lu'bi 露比
'lu'ling'chong 录灵虫
'lu'lu 路鲁
'lu'mi'na 卢米纳
'luan'zhuang'tian'kui 乱装天傀
'luo'li 洛莉
'luo'wei'shi'ren 落位十刃
'luo'zi 罗兹
'lv'huo 旅祸
'ma'er 马尔
'ma'er'da 马尔达
'ma'qiao 马桥
'mao'zhi'hua'lie 卯之花烈
'mei'ruo'li 梅若丽
'mei'sa 梅萨
'mei'yan 梅严
'mi'la'luo'zi 米菈罗兹
'mian'wen 面纹
'mie'que'shi 灭却师
'mie'zi 灭紫
'mo'si'ke'da 莫司克达
'nan'bu'yan'yi'lang 南部研一郎
'nan'xing'si'shen'xie'hui 男性死神协会
'ni'li'ai'lu'du'ou'de'xiu'fan'ke 妮莉艾露杜欧德修凡克
'ni'lu 妮露
'niao'niang 茑嬢
'nie'jian'li 涅茧利
'nie'yin'meng 涅音梦
'nu'ni'gang'ka 努尼刚卡
'nuo'yi'te'la 诺伊特拉
'nv'xing'si'shen'xie'hui 女性死神协会
'pei'xue 沛薛
'peng'pan 鹏磐
'pi'niao 劈鸟
'pi'sha'di'zang 疋杀地藏
'ping'zi'zhen'zi 平子真子
'po'dao 破道
'po'mang'zhen 破芒阵
'po'na 破纳
'po'qi'yong'chang 破弃咏唱
'po'sai'pi 破赛皮
'pu'la'ti'duo 普拉提多
'pu'yuan'xi'zhu 浦原喜助
'qian'ben'ying 千本樱
'qian'ben'ying'jing'yan 千本樱景严
'qian'sui'lv 千岁绿
'qian'xing'qian 牵星箝
'qian'ye'qi'wu 浅野启吾
'qian'ye'rui'sui 浅野瑞穗
'qing'chong 清虫
'qing'mian 黥面
'que'bu'chang'ci'lang 雀步长次郎
'que'feng 雀蜂
'ri'fan'gu'dong'shi'lang 日番谷冬狮郎
'rou'na'sha 肉雫唼
'run'lin'an 润林安
'sa'er'a'bo'luo 萨尔阿波罗
'san'ling'shou'tao 散灵手套
'san'wu'bai'dao 三舞白刀
'sang'da'wei'qi 桑达薇琪
'sha'qi'shi 杀气石
'shan'ben'yuan'liu'zhai'zhong'guo 山本元柳斋重国
'shan'tian'hua'tai'lang 山田花太郎
'she'chang'tie'zuo'wei'men 射场铁左卫门
'she'wei'wan 蛇尾丸
'shen'qiang 神枪
'sheng'ku'tang'lang 圣哭螳螂
'shi'dong'wan'shi'li 矢胴丸世里
'shi'hun'jie 尸魂界
'shi'jie 始解
'shi'ren 十刃
'shi'tian'long'xian 石田龙弦
'shi'tian'yu'long 石田雨龙
'shi'tian'zong'xian 石田宗弦
'shi'wan'yin 市丸银
'shi'xu 噬虚
'shou'shi'shen 狩矢神
'shou'tai'gao'zhi 受胎告知
'shu'diao 戍吊
'shuang'ji 双殛
'shuang'lian'cang'huo'zhui 双莲苍火坠
'shuang'yu'li 双鱼理
'shui'tian'ni'juan 水天逆卷
'shun'bu 瞬步
'shun'hong 瞬閧
'shun'hua 瞬花
'shun'kai 瞬开
'shun'ying 舜樱
'si'dan'fang 兕丹坊
'si'feng'yuan'ye'yi 四枫院夜一
'song'ben'luan'ju 松本乱菊
'sui'feng 碎蜂
'sun'sun 荪荪
'suo'duo'ni'ao 索多尼奥
'suo'jie 锁结
'suo'shu'suo'fu 锁倏锁缚
'tan'cha'hui'lu 探査回路
'tang'guan'yin'si 唐观音寺
'te'zhi'zi'yang'qiang'zhuang'ji 特制滋养强壮剂
'teng'kong'que 藤孔雀
'ti'lu'di 缇鲁蒂
'tian'feng'luan'tian'mo'xiao 天风乱天魔笑
'tian'qian 天谴
'tian'suo'zhan'yue 天锁斩月
'tian'ta'xuan 天踏绚
'tian'ting'kong'luo 天挺空罗
'tong'bu'ren'zhi 同步认知
'tong'ting'zheng 通廷证
'wa'shi'tuo'de 瓦史托德
'wai'mian'fan'ying 歪面反应
'wan'jie 卍解
'wan'wu'jie'gui'yu'hui'jin 万物皆归于灰烬
'wang'da'ke'da 汪达克达
'wang'xu'de'shan'guang 王虚的闪光
'wei'wan 嵬腕
'wo'ling'tie'zhai 握菱铁斋
'wu'er'qi'ao'la 乌尔奇奥拉
'wu'jia'chong 五铗虫
'wu'xing'tou 五形头
'wu'yu 屋雨
'wu'zhu'tie'guan 五柱铁贯
'xi'shu'lei'guang'jie'wei'wu'ren 悉数雷光皆为吾刃
'xi'shu'liu'bo'jie'wei'wu'dun 悉数流波皆为吾盾
'xia'jing'zhen'hua 夏井真花
'xiang'ma'fang'ye 相马芳野
'xiang'zhuan 响转
'xiao'chang 小菖
'xiao'chuan'mei'zhi'liu 小川美知留
'xiao'chun'xian'tai'lang 小椿仙太郎
'xiao'dao'shui'se 小岛水色
'xiao'long'ku'fang 萧隆库方
'xie'yin'fei 邪淫妃
'xing'jun 刑军
'xing'zhan'zhuang 刑战装
'xiu'bai'xue 袖白雪
'xiu'mu'bai'zai 朽木白哉
'xiu'mu'lu'qi'ya 朽木露琪亚
'xu'dan 虚弹
'xu'fu 虚浮
'xu'hua 虚化
'xu'quan 虚圈
'xu'shan 虚闪
'xu'shan'chong'zou 虚闪重奏
'ya'kai'shi 牙铠士
'ya'luo'ni'luo 亚罗尼洛
'ya'mi 牙密
'ya'qiu'ka'si 亚丘卡斯
'ya'yi'yan'ling 压抑言灵
'yan'ling'wan 严灵丸
'yan'mo'xi'shuai 阎魔蟋蟀
'ye'zhou'tong'sheng 曳舟桐生
'yi'er'mu 伊尔姆
'yi'guan'ban'ci'lou'fang 一贯坂慈楼坊
'yi'hai 义骸
'yi'hun'wan 义魂丸
'yi'shi'qi'xu 伊势七绪
'yin'guo'zhi'suo 因果之锁
'yin'mi'ji'dong 隐秘机动
'yin'yan 银彦
'ying'man 萤蔓
'yong'chang'de'hui'qi 咏唱的毁弃
'you'ze'long'gui 有泽龙贵
'you'zhao'tian'bo'xuan 有昭田钵玄
'yu'li'se 羽里色
'yu'shi 宇柿
