'ai'er'fu 埃尔夫
'ai'ke'sen'mei'fu 埃克森美孚
'dao'da'er 道达尔
'de'sai'er 德赛尔
'dun'pai 盾牌
'han'li'da 悍力达
'jia'shi'duo 嘉实多
'jin'tuo 劲驼
'kai'shi'da 凯仕达
'kang'nai'er 康耐尔
'li'ba 力霸
'mai'ke 迈科
'mai'ke'heng'dong 迈科恒动
'mai'ke'yi'hao 迈科一号
'mai'ke'zuan'shi'yi'hao 迈科钻石一号
'mei'fu'jin'zhuang'yi'hao 美孚金装一号
'mei'fu'yi'hao 美孚一号
'qiao'pai 壳牌
'wei'ba 威霸
