'ba'si'de'gong'si'ge'zi'gong'si 巴斯德公司各子公司
'bai'hou'bai'ri'ke'po'shang'feng'yi'miao 白喉百日咳破伤风疫苗
'bai'hou'po'shang'feng'yi'miao 白喉破伤风疫苗
'bai'hou'yi'miao 白喉疫苗
'bai'ri'ke'yi'miao 百日咳疫苗
'bei'jing'gao'ke'sheng'ming'ke'xue'ji'shu'kai'fa'gong'si 北京高科生命科学技术开发公司
'bei'jing'hua'er'dun'sheng'wu'ji'shu'you'xian'gong'si 北京华尔盾生物技术有限公司
'bei'jing'ke'xing'sheng'wu'zhi'pin'you'xian'gong'si 北京科兴生物制品有限公司
'bei'jing'lv'zhu'sheng'wu'zhi'yao'you'xian'gong'si 北京绿竹生物制药有限公司
'bei'jing'min'hai'sheng'wu'ke'ji'you'xian'gong'si 北京民海生物科技有限公司
'bei'jing'tian'tan'sheng'wu'zhi'pin'gu'fen'you'xian'gong'si 北京天坛生物制品股份有限公司
'bei'jing'xiang'rui'sheng'wu'zhi'pin'you'xian'gong'si 北京祥瑞生物制品有限公司
'bu'shi'jun'yi'miao 布氏菌疫苗
'chang'chun'bai'ke'sheng'wu'ke'ji'you'xian'gong'si 长春百克生物科技有限公司
'chang'chun'chang'sheng'sheng'wu'ke'ji'gu'fen'you'xian'gong'si 长春长生生物科技股份有限公司
'chang'chun'qi'jian'sheng'wu'zhi'pin'you'xian'gong'si 长春祈健生物制品有限公司
'chang'chun'wei'er'sai'sheng'wu'yao'ye'you'xian'gong'si 长春卫尔赛生物药业有限公司
'chang'chun'zhuo'yi'sheng'wu'gu'fen'you'xian'gong'si 长春卓谊生物股份有限公司
'cheng'du'kang'hua'sheng'wu'zhi'pin'you'xian'gong'si 成都康华生物制品有限公司
'cheng'du'ou'lin'sheng'wu'ke'ji'gu'fen'you'xian'gong'si 成都欧林生物科技股份有限公司
'cheng'du'rong'sheng'yao'ye'you'xian'ze'ren'gong'si 成都蓉生药业有限责任公司
'da'lian'jin'gang'an'di'sheng'wu'zhi'pin'you'xian'gong'si 大连金港安迪生物制品有限公司
'da'lian'kun'yang'zhi'yao'you'xian'gong'si 大连昆阳制药有限公司
'da'lian'ya'li'feng'sheng'wu'zhi'yao'you'xian'gong'si 大连雅立峰生物制药有限公司
'fei'yan'qiu'jun'yi'miao 肺炎球菌疫苗
'feng'zhen'yi'miao 风疹疫苗
'fu'er'sheng'wu'zhi'yao'you'xian'gong'si 福尔生物制药有限公司
'gou'duan'luo'xuan'ti'yi'miao 钩端螺旋体疫苗
'guang'dong'wei'lun'sheng'wu'zhi'yao'you'xian'gong'si 广东卫伦生物制药有限公司
'guang'zhou'nuo'cheng'sheng'wu'zhi'pin'gu'fen'you'xian'gong'si 广州诺诚生物制品股份有限公司
'gui'yang'tai'bang'sheng'wu'zhi'pin'you'xian'gong'si 贵阳泰邦生物制品有限公司
'guo'guang'sheng'wu'ke'ji'gu'fen'you'xian'gong'si 国光生物科技股份有限公司
'he'nan'pu'xin'sheng'wu'gong'cheng'you'xian'gong'si 河南普新生物工程有限公司
'he'nan'yuan'da'sheng'wu'zhi'yao'you'xian'gong'si 河南远大生物制药有限公司
'hu'nan'zi'guang'gu'han'nan'yue'zhi'yao'you'xian'gong'si 湖南紫光古汉南岳制药有限公司
'hua'lan'sheng'wu'gong'cheng'gu'fen'you'xian'gong'si 华兰生物工程股份有限公司
'huang're'bing'yi'miao 黄热病疫苗
'hui'rui'zhi'yao'you'xian'gong'si 辉瑞制药有限公司
'huo'luan'yi'miao 霍乱疫苗
'ji'lin'mai'feng'sheng'wu'yao'ye'you'xian'gong'si 吉林迈丰生物药业有限公司
'ji'lin'ya'tai'sheng'wu'yao'ye'gu'fen'you'xian'gong'si 吉林亚泰生物药业股份有限公司
'ji'sui'hui'zhi'yan'yi'miao 脊髓灰质炎疫苗
'jia'xing'gan'yan'yi'miao 甲型肝炎疫苗
'jia'xing'gan'yan'yi'xing'gan'yan'yi'miao 甲型肝炎乙型肝炎疫苗
'jiang'su'kang'huai'sheng'wu'ke'ji'you'xian'gong'si 江苏康淮生物科技有限公司
'jiang'su'xian'sheng'wei'ke'sheng'wu'zhi'yao'you'xian'gong'si 江苏先声卫科生物制药有限公司
'jiang'su'yan'shen'sheng'wu'ke'ji'gu'fen'you'xian'gong'si 江苏延申生物科技股份有限公司
'jiang'xi'bo'ya'sheng'wu'zhi'yao'gu'fen'you'xian'gong'si 江西博雅生物制药股份有限公司
'jie'bing'yi'miao 疖病疫苗
'jie'he'yi'miao 结核疫苗
'kuang'quan'bing'yi'miao 狂犬病疫苗
'li'ji'yi'miao 痢疾疫苗
'liao'ning'cheng'da'sheng'wu'gu'fen'you'xian'gong'si 辽宁成大生物股份有限公司
'liao'ning'yi'sheng'sheng'wu'zhi'yao'you'xian'gong'si 辽宁依生生物制药有限公司
'liu'gan'shi'xue'gan'jun'yi'miao 流感嗜血杆菌疫苗
'liu'xing'xing'gan'mao'yi'miao 流行性感冒疫苗
'liu'xing'xing'sai'xian'yan'yi'miao 流行性腮腺炎疫苗
'lun'zhuang'bing'du'yi'miao 轮状病毒疫苗
'luo'yi'wu'xi'sheng'wu'zhi'yao'you'xian'gong'si 罗益无锡生物制药有限公司
'lv'shi'zi'zhong'guo'sheng'wu'zhi'pin'you'xian'gong'si 绿十字中国生物制品有限公司
'ma'zhen'feng'zhen'yi'miao 麻疹风疹疫苗
'ma'zhen'liu'xing'xing'sai'xian'yan'feng'zhen'yi'miao 麻疹流行性腮腺炎风疹疫苗
'ma'zhen'liu'xing'xing'sai'xian'yan'yi'miao 麻疹流行性腮腺炎疫苗
'ma'zhen'yi'miao 麻疹疫苗
'mei'guo'mo'ke'gong'si 美国默克公司
'nao'mo'yan'qiu'jun'liu'gan'shi'xue'gan'jun'yi'miao 脑膜炎球菌流感嗜血杆菌疫苗
'nao'mo'yan'qiu'jun'yi'miao 脑膜炎球菌疫苗
'ning'bo'rong'an'sheng'wu'yao'ye'you'xian'gong'si 宁波荣安生物药业有限公司
'nuo'hua'gong'si 诺华公司
'po'shang'feng'yi'miao 破伤风疫苗
'ren'lei'ru'tou'liu'bing'du'yi'miao 人类乳头瘤病毒疫苗
'rui'shi'bo'er'na'sheng'wu'ji'shu'you'xian'gong'si 瑞士博尔纳生物技术有限公司
'sen'lin'nao'yan'yi'miao 森林脑炎疫苗
'shan'dong'tai'bang'sheng'wu'zhi'pin'you'xian'gong'si 山东泰邦生物制品有限公司
'shang'hai'lian'he'sai'er'sheng'wu'gong'cheng'you'xian'gong'si 上海联合赛尔生物工程有限公司
'shang'hai'rong'sheng'sheng'wu'yao'ye'you'xian'gong'si 上海荣盛生物药业有限公司
'shang'hai'sai'lun'sheng'wu'ji'shu'you'xian'gong'si 上海赛伦生物技术有限公司
'shang'hai'xin'xing'yi'yao'gu'fen'you'xian'gong'si 上海新兴医药股份有限公司
'shang'hai'ze'run'sheng'wu'ke'ji'you'xian'gong'si 上海泽润生物科技有限公司
'shang'han'yi'miao'bao'han'fu'shang'han 伤寒疫苗包含副伤寒
'shen'zhen'kang'tai'sheng'wu'zhi'pin'gu'fen'you'xian'gong'si 深圳康泰生物制品股份有限公司
'shen'zong'he'zheng'chu'xue're'yi'miao 肾综合征出血热疫苗
'shou'zu'kou'bing'yi'miao 手足口病疫苗
'shu'yi'yi'miao 鼠疫疫苗
'shui'dou'yi'miao 水痘疫苗
'si'chuan'yuan'da'shu'yang'yao'ye'gu'fen'you'xian'gong'si 四川远大蜀阳药业股份有限公司
'si'lian'yi'miao 四联疫苗
'tan'ju'yi'miao 炭疽疫苗
'tian'hua'yi'miao 天花疫苗
'tong'lu'sheng'wu'zhi'yao'you'xian'gong'si 同路生物制药有限公司
'wu'han'rui'de'sheng'wu'zhi'pin'you'xian'ze'ren'gong'si 武汉瑞德生物制品有限责任公司
'wu'xing'gan'yan'yi'miao 戊型肝炎疫苗
'xi'an'hui'tian'xue'ye'zhi'pin'you'xian'ze'ren'gong'si 西安回天血液制品有限责任公司
'xia'men'wan'tai'cang'hai'sheng'wu'ji'shu'you'xian'gong'si 厦门万泰沧海生物技术有限公司
'ya'pei'sheng'wu 雅培生物
'yi'da'li'bei'si'di'da'yao'chang 意大利贝斯迪大药厂
'yi'xing'gan'yan'yi'miao 乙型肝炎疫苗
'yi'xing'nao'yan'yi'miao 乙型脑炎疫苗
'yu'xi'wo'sen'sheng'wu'ji'shu'you'xian'gong'si 玉溪沃森生物技术有限公司
'zhe'jiang'hai'kang'sheng'wu'zhi'pin'you'xian'ze'ren'gong'si 浙江海康生物制品有限责任公司
'zhe'jiang'pu'kang'sheng'wu'ji'shu'gu'fen'you'xian'gong'si 浙江普康生物技术股份有限公司
'zhe'jiang'tian'yuan'sheng'wu'yao'ye'gu'fen'you'xian'gong'si 浙江天元生物药业股份有限公司
'zhe'jiang'wei'xin'sheng'wu'yao'ye'you'xian'gong'si 浙江卫信生物药业有限公司
'zhong'ke'sheng'wu'zhi'yao'gu'fen'you'xian'gong'si 中科生物制药股份有限公司
'zhong'yi'an'ke'sheng'wu'ji'shu'gu'fen'you'xian'gong'si 中逸安科生物技术股份有限公司
