'ai'ye 艾叶
'ba'dou'shuang 巴豆霜
'bai'bian'dou 白扁豆
'bai'fan 白矾
'bai'guo 白果
'bai'he 百合
'bai'hua'she'she'cao 白花蛇舌草
'bai'ji 白及
'bai'ji'fen 白及粉
'bai'jiang'cao 败酱草
'bai'lian 白敛
'bai'mao'gen 白茅根
'bai'mei'hua 白梅花
'bai'qian 白前
'bai'shao 白芍
'bai'tou'weng 白头翁
'bai'wei 白薇
'bai'xian'pi 白鲜皮
'bai'ying 白英
'bai'zhi 白芷
'bai'zi'ren 柏子仁
'ban'bian'lian 半边莲
'ban'lan'gen 板蓝根
'ban'zhi'lian 半枝莲
'bei'dou'gen 北豆根
'bei'sha'shen 北沙参
'bi'ba 荜茇
'bi'cheng'qie 荜澄茄
'bi'xie 萆薢
'bian'dou'hua 扁豆花
'bian'xu 萹蓄
'bing'lang 槟榔
'bing'pian 冰片
'bo'he 薄荷
'can'sha 蚕砂
'cao'dou'kou 草豆蔻
'ce'bai'tan 侧柏炭
'chai'hu 柴胡
'chan'tao'ren 燀桃仁
'chan'tui 蝉蜕
'chang'shan 常山
'chao'bai'bian'dou 炒白扁豆
'chao'bai'qian'niu'zi 炒白牵牛子
'chao'bai'shao 炒白芍
'chao'bing'lang 炒槟榔
'chao'cang'er'zi 炒苍耳子
'chao'cang'zhu 炒苍术
'chao'cao'guo 炒草果
'chao'dao'ya 炒稻芽
'chao'gu'ya 炒谷芽
'chao'hei'qian'niu'zi 炒黑牵牛子
'chao'huai'hua 炒槐花
'chao'huai'mi 炒槐米
'chao'ji'li 炒蒺藜
'chao'jie'zi 炒芥子
'chao'jue'ming'zi 炒决明子
'chao'ku'xing'ren 炒苦杏仁
'chao'lai'fu'zi 炒莱菔子
'chao'mai'ya 炒麦芽
'chao'man'jing'zi 炒蔓荆子
'chao'niu'bang'zi 炒牛蒡子
'chao'shan'zha 炒山楂
'chao'suan'zao'ren 炒酸枣仁
'chao'wang'bu'liu'xing 炒王不留行
'chao'zhi'shi 炒枳实
'chao'zi'su'zi 炒紫苏子
'che'qian'cao 车前草
'chen'pi 陈皮
'chen'xiang'fen 沉香粉
'chi'shao 赤芍
'chi'xiao'dou 赤小豆
'chong'wei'zi 茺蔚子
'chou'hu'lu 抽葫芦
'chu'shi'zi 楮实子
'chuan'bei'fen 川贝粉
'chuan'bei'mu 川贝母
'chuan'lian'zi 川楝子
'chuan'niu'xi 川牛膝
'chuan'shan'long 穿山龙
'chuan'xiong 川芎
'chui'pen'cao 垂盆草
'cu'ai'tan 醋艾炭
'cu'bie'jia 醋鳖甲
'cu'chai'hu 醋柴胡
'cu'chuan'shan'jia 醋穿山甲
'cu'e'zhu 醋莪术
'cu'gan'sui 醋甘遂
'cu'ji'nei'jin 醋鸡内金
'cu'mei'yao 醋没药
'cu'qing'pi 醋青皮
'cu'ru'xiang 醋乳香
'cu'san'leng 醋三棱
'cu'shang'lu 醋商陆
'cu'wu'ling'zhi 醋五灵脂
'cu'wu'wei'zi 醋五味子
'cu'xiang'fu 醋香附
'cu'yan'hu'suo 醋延胡索
'cu'yan'hu'suo'fen 醋延胡索粉
'cu'yuan'hua 醋芫花
'da'feng'zi 大风子
'da'fu'pi 大腹皮
'da'huang 大黄
'da'xue'teng 大血藤
'da'zao 大枣
'dai'dai'hua 玳玳花
'dai'ge'san 黛蛤散
'dai'mao'fen 玳瑁粉
'dan'dou'chi 淡豆豉
'dan'nan'xing 胆南星
'dan'shen 丹参
'dan'zhu'ye 淡竹叶
'dang'gui 当归
'dang'gui'tan 当归炭
'dang'gui'wei 当归尾
'dang'shen 党参
'dao'dou 刀豆
'dao'kou'cao 倒扣草
'deng'xin'cao 灯心草
'di'feng'pi 地枫皮
'di'fu'zi 地肤子
'di'gu'pi 地骨皮
'di'long 地龙
'di'yu'tan 地榆炭
'ding'xiang 丁香
'dong'chong'xia'cao 冬虫夏草
'dong'gua'pi 冬瓜皮
'dou'kou 豆蔻
'du'huo 独活
'du'zhong'tan 杜仲炭
'duan'chi'shi'zhi 煅赤石脂
'duan'ci'shi 煅磁石
'duan'e'guan'shi 煅鹅管石
'duan'fu'hai'shi 煅浮海石
'duan'ge'fen 煅蛤粉
'duan'ge'ke 煅蛤壳
'duan'han'shui'shi 煅寒水石
'duan'hua'rui'shi 煅花蕊石
'duan'jin'meng'shi 煅金礞石
'duan'long'chi 煅龙齿
'duan'long'gu 煅龙骨
'duan'mu'li 煅牡蛎
'duan'qing'meng'shi 煅青礞石
'duan'wa'leng'zi 煅瓦楞子
'duan'yang'qi'shi 煅阳起石
'duan'yu'liang'shi 煅禹粮石
'duan'zhe'shi 煅赭石
'duan'zi'ran'tong 煅自然铜
'duan'zi'shi'ying 煅紫石英
'e'bu'shi'cao 鹅不食草
'e'jiao 阿胶
'e'jiao'kou'fu'ye 阿胶口服液
'e'jiao'zhu 阿胶珠
'er'cha 儿茶
'fa'ban'xia 法半夏
'fan'xie'ye 番泻叶
'fang'feng 防风
'fang'feng'tan 防风炭
'fang'ji 防己
'fen'xin'mu 分心木
'feng'fang 蜂房
'feng'huang'yi 凤凰衣
'feng'wei'cao 凤尾草
'fo'shou 佛手
'fo'shou'hua 佛手花
'fu'bai'zhu 麸白术
'fu'ban'xia'qu 麸半夏曲
'fu'chun'pi 麸椿皮
'fu'dong'gua'zi 麸冬瓜子
'fu'jiang'can 麸僵蚕
'fu'ling 茯苓
'fu'ling'pi 茯苓皮
'fu'long'gan 伏龙肝
'fu'pen'zi 覆盆子
'fu'ping 浮萍
'fu'qian'shi 麸芡实
'fu'shen'qu 麸神曲
'fu'xiao'mai 浮小麦
'fu'yi'yi'ren 麸薏苡仁
'fu'zhi'ke 麸枳壳
'gan'cao 甘草
'gan'jiang 干姜
'gan'jiang'pi 干姜皮
'gan'song 甘松
'gao'ben 藁本
'gao'liang'jiang 高良姜
'ge'gen 葛根
'ge'hua 葛花
'ge'jie 蛤蚧
'gong'lao'ye 功劳叶
'gou'ji 狗脊
'gou'qi'zi 枸杞子
'gou'teng 钩藤
'gua'lou 瓜蒌
'gua'lou'pi 瓜蒌皮
'guan'huang'bai 关黄柏
'guang'huo'xiang 广藿香
'gui'jia'jiao 龟甲胶
'gui'jian'yu 鬼箭羽
'gui'zhi 桂枝
'hai'feng'teng 海风藤
'hai'jin'sha 海金沙
'hai'piao'xiao 海螵蛸
'hai'tong'pi 海桐皮
'hai'zao 海藻
'he'geng 荷梗
'he'huan'hua 合欢花
'he'huan'pi 合欢皮
'he'shi 鹤虱
'he'ye 荷叶
'he'zi'rou 诃子肉
'hei'fu'pian 黑附片
'hei'zhi'ma 黑芝麻
'hong'dou'kou 红豆蔻
'hong'hua 红花
'hong'jing'tian 红景天
'hong'qu 红曲
'hong'shen 红参
'hou'pu'hua 厚朴花
'hu'huang'lian 胡黄连
'hu'lu'ba 葫芦巴
'hu'ma'zi 胡麻子
'hu'po'fen 琥珀粉
'hu'zhang 虎杖
'hua'jiao 花椒
'hua'jiao'mu 花椒目
'hua'ju'hong 化橘红
'hua'shi'fen 滑石粉
'hua'shi'kuai 滑石块
'huai'hua'tan 槐花炭
'huai'mi 槐米
'huang'bai 黄柏
'huang'lian 黄连
'huang'lian'tan 黄连炭
'huang'qin 黄芩
'huang'qin'tan 黄芩炭
'huang'yao'zi 黄药子
'huo'geng 藿梗
'huo'ma'ren 火麻仁
'ji'gu'cao 鸡骨草
'ji'guan'hua 鸡冠花
'ji'guan'hua'tan 鸡冠花炭
'ji'xing'zi 急性子
'ji'xue'teng 鸡血藤
'jiang'ban'xia 姜半夏
'jiang'hou'pu 姜厚朴
'jiang'huang 姜黄
'jiang'xiang 降香
'jiang'zhi'zi 姜栀子
'jiao'bai'zhu 焦白术
'jiao'bing'lang 焦槟榔
'jiao'gu'ya 焦谷芽
'jiao'mai'ya 焦麦芽
'jiao'shan'zha 焦山楂
'jiao'shen'qu 焦神曲
'jiao'yi'yi'ren 焦薏苡仁
'jiao'zhi'zi 焦栀子
'jie'geng 桔梗
'jin'deng'long 锦灯笼
'jin'qian'bai'hua'she 金钱白花蛇
'jin'qian'cao 金钱草
'jin'qiao'mai 金荞麦
'jin'yin'hua 金银花
'jin'yin'hua'tan 金银花炭
'jin'ying'zi 金樱子
'jing'jie 荆芥
'jing'jie'sui 荆芥穗
'jing'jie'sui'tan 荆芥穗炭
'jing'jie'tan 荆芥炭
'jiu'bai'shao 酒白芍
'jiu'cai'zi 韭菜子
'jiu'da'huang 酒大黄
'jiu'huang'jing 酒黄精
'jiu'huang'qin 酒黄芩
'jiu'jiu'xiang'chong 酒九香虫
'jiu'nv'zhen'zi 酒女贞子
'jiu'rou'cong'rong 酒肉苁蓉
'jiu'shan'yu'rou 酒山萸肉
'jiu'she'tui 酒蛇蜕
