'an'fan'ying 暗反应
'dan'bai'he'xiao'qiu'zao 蛋白核小球藻
'dian'zi'chuan'di 电子传递
'fang'yang'fu'he'ti 放氧复合体
'guang'fan'ying 光反应
'guang'he'zuo'yong 光合作用
'guang'xi'tong 光系统
'ka'er'wen'xun'huan 卡尔文循环
'kua'lei'nang'ti'mo'zhi'zi'ti'du 跨类囊体膜质子梯度
'lan'xi'jun 蓝细菌
'lan'zao 蓝藻
'lei'nang'ti'mo 类囊体膜
'lv'zao 绿藻
'shui'lie'jie'xi'tong 水裂解系统
'tong'lv'wei'nang'zao 铜绿微囊藻
'wei'zao 微藻
'ye'lv'su'ying'guang 叶绿素荧光
'ye'lv'ti 叶绿体
'ye'lv'ti'mo 叶绿体膜
'zhi'zi'dong'li'shi 质子动力势
