'ba'nai'jian'xing'cai 八奈见杏菜
'fang'hu'yuan'yun'que 放虎原云雀
'gan'xia'gu'nai'mei 甘夏古奈美
'ji'gong'hua'lian 姬宫华恋
'ku'tian'cao'jie 袴田草介
'ling'ye'guang'xi 绫野光希
'ma'ti'tian'ai'xing 马剃天爱星
'quan'teng'ya'sha'mei 权藤亚沙美
'shao'yan'ning'meng 烧盐柠檬
'wen'shui'he'yan 温水和彦
'wen'shui'jia'shu 温水佳树
'xiao'ba'xiao'ye 小抜小夜
'xiao'ju'zhi'hua 小鞠知花
'yu'mu'shen'tai'lang 玉木慎太郎
'yu'sen'fen'huo 雨森焚火
'yue'zhi'mu'gu'du 月之木古都
'zhao'yun'qian'zao 朝云千早
'zhi'xi'wu'meng'zi 志喜屋梦子
