'a'jiao'yu'yun 阿娇馀韵
'a'nong'yuan'shi'ge'zhong'ren 阿侬原是个中人
'ai'er'bu'jian'jiu'zhong'xian 爱而不见酒中仙
'ai'gu'yun 爱孤云
'ai'wo'zhu'chuang'xin'ju'lian 爱我竹窗新句炼
'an'qi'gui'lu'zhi'yan'xia 暗期归路指烟霞
'an'tou'sha 岸头沙
'an'wu'hua'yin 按舞华茵
'ba'jiao'bu'zhan'ding'xiang'jie 芭蕉不展丁香结
'ba'jiao'chen'yu'qiu'sheng'dong 芭蕉衬雨秋声动
'ba'jiu'yu'ge'li 把酒欲歌骊
'ba'yong'xin'ti'jiu 八咏新题就
'bai'dong'qiu'qian'suo 摆动秋千索
'bai'guan'jin 白纶巾
'bai'lu'fang'zhou 白鹭芳洲
'bai'mian'fei'jin'yin'shui'shou 白绵飞尽因谁瘦
'bai'pin'hua'man'jian'qun'chu 白蘋花满湔裙处
'bai'pin'zhou'pan 白蘋洲畔
'bai'tou'jiang'hu'shang 白头江湖上
'bai'yan'qing'tian 白眼青天
'bai'yu'zhai'diao'gong 白羽摘雕弓
'bai'yue'lou'kong 拜月楼空
'bai'yun'lian'du'he'han 白云联度河汉
'bai'zhu'bie'shi'xin 白纻别时新
'bai'zhu'chun'shan'xin'zhi 白纻春衫新制
'ban'chuang'kong 半床空
'ban'chuang'xie'yue 半窗斜月
'ban'chui'lian'mu'yi'lan'gan 半垂帘幕倚阑干
'ban'chui'you'mu'hu'can'han 半垂油幕护残寒
'ban'dao'ren'hui'rao 半道忍回桡
'ban'deng'lin 伴登临
'ban'huang'mei'zi 半黄梅子
'ban'jie'xiang'xiao'pu'fen'ji 半解香绡扑粉肌
'ban'luo'jiang'nan'tiao 半落江南调
'ban'ren'chou'ye'chang 伴人愁夜长
'ban'shang'luan'chang'yi'duan 半晌鸾肠易断
'ban'sui'jing'yu'piao'chi'jiao 半随经雨飘池角
'ban'wo'jiang'hu'zuo'sheng'you 伴我江湖作胜游
'ban'wo'yi'chun'xiao'shou 伴我一春销瘦
'ban'xiao'tan'fen'shui'hen'xin 半销檀粉睡痕新
'ban'yan'lan'tang 半掩兰堂
'ban'yun'lai 伴云来
'ban'zui'bu'sheng'qing 半醉不胜情
'ban'zui'ke 半醉客
'ban'zui'xing'zhong 半醉醒中
'ban'zui'yi'mi'lou 半醉倚迷楼
'ban'zui'yu'lian'gang 伴醉玉连缸
'bang'chuang'sha 傍窗纱
'bang'shui'tian'qing'yun 傍水添情韵
'bao'le'kong'hui 宝勒空回
'bao'qin'chen'wang 宝琴尘网
'bao'se'gao'zhang 宝瑟高张
'bao'se'xian'tiao 宝瑟弦调
'bao'yan'cen'ci'fei'bu'qi 宝雁参差飞不起
'bao'yan'xie'fei'san'shi'jiu 宝雁斜飞三十九
'bao'zi'yu'yan 宝子馀妍
'bei'chui'qun'dai'chang 背垂裙带长
'bei'deng'tou'jie'su'luo'shang 背灯偷解素罗裳
'bei'feng'qian 北风前
'bei'gu'ling'gao 北固陵高
'bei'jing'zhao'ying'chun 背镜照樱唇
'bei'ren'fei'qu 背人飞去
'bei'wu'qing'shuang'yan 被无情双燕
'bei'xi'xun 背西曛
'bei'xi'yu'xun 被惜馀薰
'bei'xie'yang 背斜阳
'bei'yan'fu'rong'xun'she'jian 被掩芙蓉熏麝煎
'bi'bo'nan'pu 碧波南浦
'bi'cheng'zhong 碧城中
'bi'chuang'xiang'jian'ping'ting 碧窗想见娉婷
'bi'di'yi'jia 避地移家
'bi'feng'chang'xia'jiang'sha'wei 避风长下绛纱帷
'bi'hua'bie'guan 闭花别馆
'bi'jian'neng'fu'shu'gong'wa 襞笺能赋属宫娃
'bi'liu'li'shui'jin'qiong'zhi 碧琉璃水浸琼枝
'bi'mei'ge'ren 彼美个人
'bi'mei'wu'shu'chang 彼美吴姝唱
'bi'sha'chuang'ying 碧纱窗影
'bi'sha'chuang'ying'xia 碧纱窗影下
'bi'sha'ru'wu'ge'xiang'lian 碧纱如雾隔香奁
'bi'shao'nian 避少年
'bi'wu'hong'yao'yan'xiao'zhai 碧梧红药掩萧斋
'bi'yu'shan'wei'si'ji 碧玉山围四际
'bi'yuan'yang'wa'zhou'sheng'yan 碧鸳鸯瓦昼生烟
'bi'yue'hua'fang'xiao 闭月花房小
'bi'yue'liu'lian'chang'ye 璧月留连长夜
'bi'yue'tang 璧月堂
'bi'yue'zhang'xiang'dui 璧月长相对
'bi'yun'chang'you'dai 碧云长有待
'bi'yun'fang'cao'hen'nian'nian 碧云芳草恨年年
'bi'yun'ming'yue'liang'guan'xin 碧云明月两关心
'bi'yun'sao'jin 碧云扫尽
'bi'yun'xin'yuan 碧云新怨
'bian'fei'cui'ping'kai 便翡翠屏开
'bian'hou'yuan 边堠远
'bian'lan'zhou'du'shang 便兰舟独上
'bian'mo'xi 便莫惜
'bian'qiao'yan'yu 便桥烟雨
'bian'qu'zhan'jin 辨取沾襟
'bian'ren'de'qin'xin'xiang'xu 便认得琴心相许
'bian'sui'niao'zi'liu'hua'bu 鞭穗袅紫骝花步
'bian'xian'sheng 辨弦声
'bian'xu'juan'shou'xing'yu 便许卷收行雨
'bie'dong'shan 别东山
'bie'hen 别恨
'bie'jiu'chu'xiao 别酒初销
'bie'jiu'geng'tian'hong'fen'lei 别酒更添红粉泪
'bie'lai'le'shi'jing'chun'ba 别来乐事经春罢
'bie'pu'chao'ping 别浦潮平
'bie'ye'ke'lian'chang'gong'yue 别夜可怜长共月
'bie'you'qing'cheng'di'yi'hua 别有倾城第一花
'bing'ying'reng 病婴仍
'bo'fei'xiang 波飞向
'bo'luo'yi'yue'jian'ming'zhuang 薄罗依约见明妆
'bo'miao'xi'yang'chi 波渺夕阳迟
'bo'mu'cai'lian'hui 薄暮采莲回
'bo'mu'geng'kan'sao'shou 薄暮更堪搔首
'bo'mu'lan'rao 薄暮兰桡
'bo'ping'tian'miao 波平天渺
'bo'ri'hong'yun'ying 薄日烘云影
'bo'san'mian 波三面
'bo'wan'ju'lan'tang 薄晚具兰汤
'bo'ying'fan'lian 波影翻帘
'bo'yu'chu'han 薄雨初寒
'bo'yu'ge'qing'lian 薄雨隔轻帘
'bu'ci'cun'duan'jiu'hui'chang 不辞寸断九回肠
'bu'dai'su'cheng'xiao 不待宿酲销
'bu'fang'can'han'tui 不放残寒退
'bu'gong'hun'xiao 不共魂销
'bu'hua'jian 步花间
'bu'hui'zhang'nian'lai 不会长年来
'bu'ji'xia'lou'shi 不记下楼时
'bu'jian'li'hua'biao'yun 不减丽华标韵
'bu'jian'mo'chou'gui'lu 不见莫愁归路
'bu'jian'shi'cheng'shuang'jiang 不见石城双桨
'bu'jian'wang'you'fang'cao 不见忘忧芳草
'bu'jian'yi'ren'xian 不见一人闲
'bu'jian'yun'zhao'yu'mu 不间云朝雨暮
'bu'jie'ji'yi'zi'xiang'si 不解寄一字相思
'bu'kan'hui'shou 不堪回首
'bu'kan'hui'shou'wo'yun'xiang 不堪回首卧云乡
'bu'lian'gao'tang 不恋高唐
'bu'lian'nong'li'ban'ren'gui 步莲秾李伴人归
'bu'lun'qian 不论钱
'bu'mian'si'fu 不眠思妇
'bu'nai'ri'zhang'xian 不耐日长闲
'bu'nian'ren'chang'duan'gui'qu 不念人肠断归去
'bu'pan'zun'qian'ni'yang'zui 不拚尊前泥样醉
'bu'qing'chang'ying 不请长缨
'bu'rong'che 不容车
'bu'ru'gui 不如归
'bu'sheng'feng'yue'liang'yan'yan 不胜风月两厌厌
'bu'sheng'qi'duan 不胜凄断
'bu'sheng'qiao'cui 不胜憔悴
'bu'shi'dang'nian'tao'ye'mian 不识当年桃叶面
'bu'shu'cong 簿书丛
'bu'shu'wu'ling'kuang'xia'shao 不数五陵狂侠少
'bu'si'chang'ting'liu 不似长亭柳
'bu'si'luo'qun'dai 不似罗裙带
