'a'cao'po 阿曹婆
'a'nan'he'zhang'bai'fo'yan 阿难合掌白佛言
'a'niang'bu'wei'ji'shen 阿娘不为己身
'a'niang'du'chang'si'dao'jian 阿娘肚肠似刀劗
'a'niang'hun'po'yu'xian 阿娘魂魄于先
'a'nou'chi'bian 阿耨池边
'ai'bie'li'ku'duan'xin'chang 爱别离苦断心肠
'ai'dai'rao'tian'ya 叆叇绕天涯
'ai'en 爱恩
'ai'yin'wo'er'ying'wu'xi 爱引猧儿鹦鹉戏
'an'huan'qing'si'wei'liu'xu 暗换青丝为柳絮
'an'kuo'lin'jiang'di'jian'sha 岸阔临江底见沙
'an'zhai'zhao 安宅兆
'an'zhu'san'guang 暗祝三光
'ao'nao'wu'ci'cheng'gan'dan 懊恼无辞呈肝胆
'ba'de'chi'bian 八德池边
'ba'jiu'yuan'tong'shan'yue'gu 把酒愿同山岳固
'ba'qiang'dao 罢枪刀
'ba'que'long'quan'shen'jie'jia 罢却龙泉身解甲
'ba'ren'you'ni 把人尤泥
'ba'shi'nian 八十年
'ba'shi'shui'neng'liao'ci'shen 八十谁能料此身
'ba'shi'sui'cun'li'yi'can 八十虽存力已残
'ba'shi'tui'nian'zhi'bu'mi 八十颓年志不迷
'ba'shui'dui'san'chuan 八水对三川
'ba'wang'yu'ji'jie'zi'wen 霸王虞姬皆自刎
'ba'yuan'ba'jun'zang'qiu'ling 八元八俊葬丘陵
'ba'yue'zhong'qiu'qiu'yi'lan 八月仲秋秋已阑
'ba'zhi'sheng 罢治生
'bai'ban'chan'ning'er'bian'lai 百般谗佞耳边来
'bai'bie'shi 拜别时
'bai'bu'wei'wen'lan'she'xiang 百步惟闻兰麝香
'bai'fa'an'lai'he'chu'bi 白发暗来何处避
'bai'fa'na'kan'jing'li'sheng 白发那堪镜里生
'bai'fen'zhi'zhong'wu'yi'er 百分之中无一二
'bai'hua'jing'fa'huan'xin'guang 百花竞发焕新光
'bai'jin'ling 摆金铃
'bai'liao'qing'xiang'lie'pai'ban 百僚卿相列排班
'bai'ming'jun 拜明君
'bai'nian'shao'jian'kai'yan'xiao 百年少见开颜笑
'bai'niao'xiang'yi'tou'lin'su 百鸟相依投林宿
'bai'ri'can'chen'xian 白日参辰现
'bai'sui'gui'yuan'qi'bu'lai 百岁归原起不来
'bai'sui'gui'yuan'zhu'wan'feng 百岁归原逐晚风
'bai'sui'pian 百岁篇
'bai'xin'yue 拜新月
'bai'yu'huang'jin'wei'shi'zhen 白玉黄金未是珍
'bai'zhi'jin'hua'jian 百支金花箭
'ban'gu'ping 伴孤屏
'ban'han'hai 半含咍
'ban'han'jiao'tai 半含娇态
'ban'jiang'song'yu'bie'ren'jia 搬将送与别人家
'ban'shi'ru'sheng'lei 半是儒生泪
'ban'ye'peng'pao'can'wei'bi 半夜烹炮餐未毕
'ban'ye'qiu'feng'lin'lin'gao 半夜秋风凛凛高
'bao'can'xing'xue'yin'bei'shang 饱餐腥血饮杯觞
'bao'dian'qiong'lou'xia'ge'cui 宝殿琼楼霞阁翠
'bao'en'shi'yue'mo'xiang'gu 报恩十月莫相辜
'bao'ji'chai'heng'zhui'bin'xie 宝髻钗横坠鬓斜
'bao'jian'qi'xing'guang 宝见七星光
'bao'qu'zheng'nai'he 抱屈争奈何
'bao'shi'chan'yan'guang'can'lan 宝石巉岩光灿烂
'bao'zhong'zhen 抱忠贞
'bao'zhuang'yu'feng'jin'chan 宝妆玉凤金蝉
'bei'bing'ren 悲病人
'bei'dou'hui'nan'mian 北斗回南面
'bei'fan'gui'han'jing'shu'sui 背蕃归汉经数岁
'bei'fu'mu'jiang'er'pi'pei 被父母将儿匹配
'bei'gu'shuang 悲孤孀
'bei'guo'hua 备果花
'bei'jian'ren'jian'wu'xian'shi 悲见人间无限事
'bei'qiu'tu 悲囚徒
'bei'xing'ren 悲行人
'bei'yan'sui'yang 悲雁随阳
'bei'yun'fu 悲孕妇
'ben'xing'chi'jie'duan'tan'chen 本性持戒断贪嗔
'ben'you'san'shi'er'xiang'hao 本有三十二相好
'ben'zi'jing 本自净
'bi'ci'he'ru 彼此何如
'bi'jing'zhong'shen'cheng'da'huan 毕竟终身成大患
'bi'luo'guan'zi'jie'chu'cheng 碧罗冠子结初成
'bi'mu'bu'xing'xiang 闭目不形相
'bi'si'gong'jun'yuan'wai'ke 比死共君缘外客
'bian'di'mei'tai'yi'ruan'cao 遍地莓苔异软草
'bian'han'ku 边寒苦
'bian'he'ru'lai'wu'lou'jiao 便合如来无漏教
'bian'ji'huan'che'ni 便即唤车匿
'bian'ning'xin 便凝心
'bian'qian'lu 辨前路
'bian'ren'duo'sheng'su'yin'juan 便认多生宿姻眷
'bian'sai'ku 边塞苦
'bian'shen'xu'han'si'tang'lin 遍身虚汗似汤淋
'bian'shi'fang 遍十方
'bian'shi'hui'xin'qiu'fo'dao 便是回心求佛道
'bian'shi'si'jun'chang'duan'chu 便是思君肠断处
'bian'ti'nong'xue'liu'bu'jin 遍体脓血流不尽
'bian'wang'luo'yan'zou 便往罗延走
'bian'zhi'ru'shi'ding'feng'bo 便知儒士定风波
'biao'qie'zhong'chang 表妾衷肠
'bie'ci 别词
'bie'jin'ge'pian 别尽歌篇
'bie'jun'jin 别君尽
'bie'ren'chi'wu'zi'jia'ji 别人吃物自家饥
'bie'ren'shui'ken'xiang'ai'min 别人谁肯相哀悯
'bin'tou'lu 宾头卢
'bing'chuan'song'zhu'zi'qing'liang 冰川松竹自清凉
'bing'ku'qian'nian 冰窟千年
'bing'tian'xing 禀天性
'bing'zai'yang'wei'nv'dao'shi'hou 并在杨为女道士后
'bo'de'qun'chen'mei 播得群臣美
'bo'mian'wei'feng'an'qi 波面微风暗起
'bo'mu'wei'wen'sai'niao'yin 薄暮唯闻塞鸟吟
'bo're'yi 般若意
'bo'zha'zong'zai'wu'chang'hou 波吒总在无常后
'bo'zhao'cheng'chuan'wu'ding'zhi 拨棹乘船无定止
'bu'bu'lei 步步泪
'bu'bu'wu'chang'jian'xiang'jin 步步无常渐相近
'bu'bu'zu'xia'sheng'lian'hua 步步足下生莲花
'bu'ceng'jie'yue'wu'yan'kou 不曾戒约无厌口
'bu'ceng'jun'zai'jia 不曾君在家
'bu'ceng'kan'zhi'jin 不曾看至今
'bu'chao'tian 不朝天
'bu'chuan'shu'xin'jue'zhi'wen 不传书信绝知闻
'bu'ci'qian'wan'li 不辞千万里
'bu'cong'ming 不聪明
'bu'dan'qi'qu 不惮崎岖
'bu'de'jiu'ting 不得久停
'bu'de'zhi'feng'bo'xiao'qu 不得值风波消去
'bu'feng'qing'yan'shi 不逢青眼识
'bu'gui'bian'di 不归边地
'bu'gui'zao 不归早
'bu'ji'ni'ma'shang'nong'yin'qiang 不藉你马上弄银枪
'bu'ji'ni'shi'shang'zuo'gong'wang 不藉你世上作公王
'bu'jian'gao'di'jie'rao'rao 不拣高低皆扰扰
'bu'jie'yong'xin'xiu'shan'shi 不解用心修善事
'bu'jue'han 不觉寒
'bu'li'gu'er'ti'bian 不离孤儿体边
'bu'lun'dian'si'yu'ren'jia 不论店肆与人家
'bu'lun'pin'fu'yu'gong'si 不论贫富与公私
'bu'lun'zhu'liang'zong'hai'ta 不论铢两总还他
'bu'na'qian'ren'zi'xin'you 不那千人自心有
'bu'neng'zhi'fen'gan'tian'en 不能知分感天恩
'bu'nian'dang'chu'luo'zhang'en 不念当初罗帐恩
'bu'pa'xi'shan'bai 不怕西山白
'bu'ping'fan'jian 不娉凡间
'bu'ru'gui'qu 不如归去
'bu'ru'wen'zao'xue'chan'shi 不如闻早学禅师
'bu'shi'cong'qian'wei'diao'zhe 不是从前为钓者
'bu'shi'hong'fen'jing'tai'qian 不施红粉镜台前
'bu'shi'shen 哺时申
'bu'shi'shen 晡时申
'bu'shi'xu'yan'xiang'kuang'hai 不是虚言相诳咍
'bu'shu'kuang 不疏狂
'bu'si'jia'guo 不思家国
'bu'wei'rang'que'wan'ban'zai 不唯禳却万般灾
'bu'xian'shi'jian'wei'guo'zhu 不羡世间为国主
'bu'xian'wu'hui'yu'xing'shan 不嫌污秽与腥膻
'bu'xiang'dang 不相当
'bu'xiang'guan 不相管
'bu'xiao'ying'ye'xu 不孝应也虚
'bu'xin'tou'zhong'bai'fa'sheng 不信头中白发生
'bu'xin'zhu'tian'gan'lu'mi 不信诸天甘露蜜
'bu'xu'mu'xia'cheng'lou'luo 不须目下骋偻儸
'bu'yong'jiao'ren'zai'san'dao 不用教人再三道
'bu'yong'xian'you'qie'zi'chou 不用闲忧且自愁
'bu'yu'chang'ru'zui 不语长如醉
'bu'yuan'rong 步元戎
'bu'zai'yan 不在言
'bu'zhi 不知
'bu'zhi'lao 不知老
'bu'zhi'zi'shen'ben'shi'fo 不知自身本是佛
'cai'jiang'shu'se'chen'san'shan 才将曙色衬三山
'cai'mao'xiang'bi'bing 才貌相比并
'cai'nian'wen'shu'liang'san'kou 才念文殊两三口
'cai'wu'shi'ta'wei'zhu'shou 财物是他为主首
'cai'yan'bu'jue'dao'zhu'men 才言不觉到朱门
'can'deng'wei'mie'guang'hui'bo 残灯未灭光辉薄
'can'jing'nan'liu'ru'ji'jian 残景难留如急箭
'cao'gong'de 曹公德
'cao'lao'bu'zan'ting 操劳不暂停
'cao'mu'zong'guang'hui 草木总光辉
'ce'feng'wei'gui'fei'zhi'qian 册封为贵妃之前
'ce'zuo'jin'an'tiao'ma'bian 侧坐金鞍调马鞭
'cen'ci'qian'li'yu 参差千里余
'ceng'jing'chang'she'yan'yue'zhen 曾经长蛇偃月阵
'ceng'jing'shu'zhen'zhan'chang'kuan 曾经数阵战场宽
'ceng'nv'jian'zhen 曾女坚贞
'cha'jiang'jian'xiu'gong 差匠见修宫
'chan'yu'mi'lu'chen 单于迷虏尘
'chang'can'xue'yuan'ju'chen'xia 常惭血愿居臣下
'chang'cheng'xia'ke'cheng'xiong'hao 长城侠客逞雄豪
'chang'du'ji'nan'fan 肠肚计难翻
'chang'du'xi'jun'qian 肠肚悉均牵
'chang'duan'yi'xian'gong 肠断忆仙宫
'chang'duan'zhi'me 肠断知么
'chang'fu'qi 长伏气
'chang'ming'bei'zhong'qing'lv'xu 长命杯中倾绿醑
'chang'ping'sheng 畅平生
'chang'qiang'duan'jian'ru'ma'luan 长枪短剑如麻乱
'chang'shu'gong'jian 常输弓剑
'chang'si'lian 长思恋
'chang'tu'huan'yan'zai'gao'lou 长图欢宴在高楼
'chang'wen'da'guo'zuo'chang'cheng 常闻大国作长城
'chang'xiang'si 长相思
'chang'you'jian'xin 常有坚心
'chang'yuan'jia 长冤家
'chao'sheng'ming'zhu 朝圣明主
'che'ma'xi'shu'wang'huan'qi 车马稀疏往还弃
'chen'deng'mo'you 臣等默佑
'chen'tu'man'mian'shang 尘土满面上
'chen'xia'fang'wu'zhen'bao 臣遐方无珍宝
'chen'yuan'she'shan'shui 臣远涉山水
'cheng'bang'lie'qi'ge'pian'pian 城傍猎骑各翩翩
'cheng'bo'mei 澄波美
'cheng'chuan'zheng'zhi'gao'qiu 乘船正值高秋
'cheng'ci'zao 逞词藻
'cheng'ge'wu 呈歌舞
'cheng'she'chi 逞奢侈
'cheng'yun'dao'xue'shan 乘云到雪山
'chi'jian'shu 齿渐疏
'chi'shi'zhi 持势至
'chi'xing'shan 吃腥膻
'chi'zhai'jie 持斋戒
'chi'zhai'nian'fo'jia'jing'jin 持斋念佛加精进
'chi'zhong'bi'mu'yu'you'xi 池中比目鱼游戏
'chi'zhu'can'nian'neng'ji'xu 吃著残年能几许
'chou'dui'mu'dan'hua 愁对牡丹花
'chou'jun 愁君
'chou'jun'zuo'ke'zai 愁君作客在
'chu'chu'dao'chang'pai'yu'zhuan 处处道场排玉馔
'chu'chu'jie'tong'shun 处处皆通顺
'chu'chu'ying'hua'fa 处处樱花发
'chu'fei'que'ying'feng'jun'wang 除非却应奉君王
'chu'ge'ai'yuan'chu'jiang'xin 楚歌哀怨出江心
'chu'jia'shi'yu'zhi 出家时欲至
'chu'men'hu'feng'bing'si'lao 出门忽逢病死老
'chu'men'qi'ma'luan'dong'xi 出门骑马乱东西
'chu'men'xie'nian'tong'xin'nong 出门斜拈同心弄
'chu'mo'chong'chong'he'ri'yi 出没憧憧何日已
'chu'mu'geng'jiao'shui 除母更教谁
'chu'ping'wei 出屏帏
