'ba'yi'jun'hao 八一军号
'bai'lao'hu'bu'dui 白老虎部队
'bai'long'ma'tuan 白龙马团
'bai'tai'shan'jing'lv 白台山劲旅
'bai'yun'shan'tuan 白云山团
'bao'feng'yu'bu'dui 暴风雨部队
'bao'zhang'bu 保障部
'bei'bu'zhan'qu 北部战区
'bei'bu'zhan'qu'lu'jun 北部战区陆军
'bei'jiang'wei'shi'hao 北疆卫士号
'bei'jing'wei'shu'qu 北京卫戍区
'bei'lu'qiang'jun'hao 北陆强军号
'bian'dao'lian 便导连
'bian'fang'lv 边防旅
'bian'fang'tuan 边防团
'bian'xie'shi'di'kong'dao'dan'lian 便携式地空导弹连
'can'mou'bu 参谋部
'chang'bai'jing'lv 长白劲旅
'chang'gong'shan'shou'ying'xiong'tuan 长攻善守英雄团
'chang'sheng'jing'lv 常胜劲旅
'da'du'he'shen'pao'lv 大渡河神炮旅
'da'dui 大队
'di'kong'dao'dan'lian 地空导弹连
'di'kong'dao'dan'ying 地空导弹营
'di'yi'ji'xie'hua'shi 第一机械化师
'dian'zi'dui'kang'lian 电子对抗连
'dian'zi'dui'kang'lv 电子对抗旅
'dian'zi'dui'kang'ying 电子对抗营
'dong'bu'zhan'qu 东部战区
'dong'bu'zhan'qu'lu'jun 东部战区陆军
'dong'cun'rui'bu'dui 董存瑞部队
'dong'hai'fei'long 东海飞龙
'er'lang'shan'zhu'lu'ying'xiong'tuan 二郎山筑路英雄团
'fan'tan'ke'dao'dan'lian 反坦克导弹连
'fang'hua'lian 防化连
'fang'hua'lv 防化旅
'fang'hua'tuan 防化团
'fang'hua'ying 防化营
'fang'kong'jing'lv 防空劲旅
'fang'kong'lv 防空旅
'fang'kong'ying 防空营
'fei'hu'lv 飞虎旅
'gan'xian'wang'luo'tong'xin'ying 干线网络通信营
'gang'dao'jing'lv 钢刀劲旅
'gang'tie'jing'lv 钢铁劲旅
'gang'tie'xian'feng 钢铁先锋
'gang'tie'xian'feng'hao 钢铁先锋号
'gao'pao'lian 高炮连
'gao'pao'ying 高炮营
'gao'yuan'jing'lv 高原劲旅
'gao'yuan'tie'qi 高原铁骑
'gao'yuan'xue'bao 高原雪豹
'gao'yuan'zhan'shi 高原战士
'gong'bing'lian 工兵连
'gong'bing'lv 工兵旅
'gong'bing'tuan 工兵团
'gong'cheng'fang'hua'lian 工程防化连
'gong'hua'lv 工化旅
'gong'ji'zhi'sheng'ji'ying 攻击直升机营
'gong'jian'jing'lv 攻坚劲旅
'gong'jian'xian'feng'lv 攻坚先锋旅
'gong'ying'bao'zhang'dui 供应保障队
'guang'rong'de'lin'fen'lv 光荣的临汾旅
'hai'fang'lv 海防旅
'hai'sha'te'zhan'lv 海鲨特战旅
'he'cheng'lv 合成旅
'he'cheng'shi 合成师
'he'cheng'tuan 合成团
'he'cheng'ying 合成营
'he'lan'jing'lv 贺兰劲旅
'he'lan'zhan'shen 贺兰战神
'heng'dao'li'ma'ying'xiong'tuan 横刀立马英雄团
'hong'jun'lv 红军旅
'hong'jun'shi 红军师
'hong'jun'tie'qi 红军铁骑
'hong'jun'tuan 红军团
'hong'jun'xue'mai'dang'de'qiang 红军血脉党的枪
'hong'yi'shi 红一师
'hong'yi'tuan 红一团
'hua'ye'xiong'shi 华野雄师
'huo'jian'pao'lian 火箭炮连
'huo'li'lian 火力连
'huo'li'tuan 火力团
'huo'li'ying 火力营
'ji'dong'bao'zhang'ying 机动保障营
'ji'dong'ji'shu'zhen'cha'lian 机动技术侦察连
'ji'dong'tong'xin'lian 机动通信连
'ji'dong'tong'xin'ying 机动通信营
'ji'nan'di'er'tuan 济南第二团
'ji'nan'di'yi'tuan 济南第一团
'ji'tuan'jun 集团军
'ji'tuan'jun'yi'yuan 集团军医院
'jia'liu'pao 加榴炮
'jia'liu'pao'ying 加榴炮营
'jia'nong'liu'dan'pao 加农榴弹炮
'jian'dao'jing'lv 尖刀劲旅
'jian'feng'shan'jing'lv 尖峰山劲旅
'jiang'huai'xiong'ying 江淮雄鹰
'jin'gang'zuan'hong'jun'lv 金刚钻红军旅
'jin'lie'sun 金猎隼
'jing'ji'tie'quan 京畿铁拳
'jing'rui'li'jian'lv 精锐利剑旅
'jing'wei'qin'wu'lian 警卫勤务连
'jing'wei'qin'wu'ying 警卫勤务营
'jing'wei'tiao'zheng'lian 警卫调整连
'jing'wei'zhen'cha'ying 警卫侦察营
'jue'si'jing'lv 决死劲旅
'ka'la'kun'lun'wei'shi 喀喇昆仑卫士
'kai'guo'da'dian'hong'yi'shi 开国大典红一师
'kang'hong'qiang'xian'mo'fan'lv 抗洪抢险模范旅
'kong'tu 空突
'kong'tu'bu'bing'ying 空突步兵营
'kong'tu'lv 空突旅
'kong'zhong'tu'ji'bu'bing 空中突击步兵
'kun'lun'li'ren 昆仑利刃
'kun'lun'tie'qi 昆仑铁骑
'kun'lun'xian'qian 昆仑先遣
'kun'lun'zhan'ying 昆仑战鹰
'lan'jun'lv 蓝军旅
'lao'shan'zhan'shen 老山战神
'lei'ting'fei'hu 雷霆飞虎
'lei'ting'tie'quan'ying'xiong'tuan 雷霆铁拳英雄团
'liang'bu'pa'lv 两不怕旅
'liang'jian'dong'nan 亮剑东南
'liang'jian'jing'lv 亮剑劲旅
'liang'qi'jing'lv 两栖劲旅
'lie'bao'jing'lv 猎豹劲旅
'liu'dan'pao'lian 榴弹炮连
'lu'hang'lv 陆航旅
'lu'zhan'tie'quan'jing'lv 陆战铁拳劲旅
'meng'hu'jing'lv 猛虎劲旅
'meng'hu'lv 猛虎旅
'meng'hu'shi 猛虎师
'mo'bu 摩步
'mo'bu'lian 摩步连
'mo'bu'ying 摩步营
'mo'fan'hong'jun'lv 模范红军旅
'mo'fan'hong'wu'tuan 模范红五团
'mo'fan'qing'nian'tuan 模范青年团
'mo'tuo'hua'bu'bing 摩托化步兵
'mo'tuo'hua'bu'bing'lian 摩托化步兵连
'mo'tuo'hua'bu'bing'ying 摩托化步兵营
'nan'bu'zhan'qu 南部战区
'nan'bu'zhan'qu'lu'jun 南部战区陆军
'nan'jiang'hao'jiao 南疆号角
'nan'jiang'li'jian 南疆利箭
'nan'jiang'qiang'jun'hao 南疆强军号
'nan'jiang'qing'qi 南疆轻骑
'nan'lu'qing'feng 南陆清风
'nan'lu'yi'hao 南陆一号
'pao'bing'lv 炮兵旅
'pao'bing'ying 炮兵营
'pi'li'jian'bing 霹雳尖兵
'ping'jiang'qi'yi'di'yi'tuan 平江起义第一团
'ping'jiang'qi'yi'tuan 平江起义团
'qi'che'yun'shu'lv 汽车运输旅
'qiang'jun'hao 强军号
'qiang'jun'jing'lv 强军劲旅
'qin'wu'bao'zhang'ying 勤务保障营
'qin'wu'zhi'sheng'ji'ying 勤务直升机营
'qin'wu'zhi'yuan'lv 勤务支援旅
'qing'bao'chu'li'dui 情报处理队
'qing'bao'zhen'cha'lv 情报侦察旅
'qing'bu'lian 轻步连
'qing'gao'ji 轻高机
'qing'gao'ji'ying 轻高机营
'qing'qi'jing'lv 轻骑劲旅
'qing'xing'gao'ji'dong'bu'bing 轻型高机动步兵
'qing'xing'gao'ji'dong'bu'bing'lian 轻型高机动步兵连
'qing'xing'gao'ji'dong'bu'bing'ying 轻型高机动步兵营
'qing'xing'he'cheng'lv 轻型合成旅
'qiong'zhou'tie'lv 琼州铁旅
'qiu'shao'yun'sheng'qian'suo'zai'bu'dui 邱少云生前所在部队
'qiu'shou'qi'yi'hong'er'tuan 秋收起义红二团
'qiu'shou'qi'yi'hong'jun'lv 秋收起义红军旅
'quan'yu'zhi'sheng'xian'feng'tuan 全域制胜先锋团
'ren'min'qian'xian 人民前线
'sai'wai'jing'lv 塞外劲旅
'san'meng'bu'dui 三猛部队
'san'meng'mo'fan'tuan 三猛模范团
'san'shan'jing'lv 三山劲旅
'shan'bu 山步
'shan'bu'lian 山步连
'shan'bu'ying 山步营
'shan'di'bu'bing 山地步兵
'shan'di'bu'bing'lian 山地步兵连
'shan'di'bu'bing'ying 山地步兵营
'shan'di'jing'lv 山地劲旅
'shen'jian'lv 神箭旅
'song'gu'feng'ying'xiong'tuan 松骨峰英雄团
'ta'shan'jing'lv 塔山劲旅
'ta'shan'shou'bei'ying'xiong'tuan 塔山守备英雄团
'ta'shan'xian'feng 塔山先锋
'tai'hang'jing'lv 太行劲旅
'tan'ke'lian 坦克连
'te'zhan'lv 特战旅
'te'zhan'xiong'shi 特战雄狮
'te'zhan'ying 特战营
'te'zhong'xun'lian'ying 特种训练营
'te'zhong'zuo'zhan'lv 特种作战旅
'tian'shan'tie'qi 天山铁骑
'tian'shan'xiong'shi 天山雄师
'tian'shan'xiong'ying 天山雄鹰
'tie'chui'zi'hong'jun'lv 铁锤子红军旅
'tie'chui'zi'tuan 铁锤子团
'tie'gu'ying'lv 铁骨硬旅
'tie'jia'xian'feng 铁甲先锋
'tie'jian'zhong'quan 铁肩重拳
'tie'jun'lv 铁军旅
'tie'qi'jing'lv 铁骑劲旅
'tie'qi'meng'hu 铁骑猛虎
'tie'quan'jing'lv 铁拳劲旅
'tie'quan'lv 铁拳旅
'tie'xue'hong'jun'lv 铁血红军旅
'tie'xue'xian'feng'lv 铁血先锋旅
'tie'yi'shen'ying 铁翼神鹰
'ting'jin'bu'dui 挺近部队
'tong'xin'tuan 通信团
'tuan'yi'yuan 团医院
'wang'jie'bu'dui 王杰部队
'wei'sheng'lian 卫生连
'wu'ren'ji'zhen'cha'lian 无人机侦察连
'wu'ren'ji'zhen'cha'ying 无人机侦察营
