'bei'jing 北粳
'chu'jing'hao 楚粳号
'chuan'kang'you'si'miao 川康优丝苗
'de'xiang 德香
'de'you 德优
'feng'liang'you'hao 丰两优号
'feng'liang'you'xiang'hao 丰两优香号
'fu'nong'you 福农优
'guang'liang'you'xiang 广两优香
'gui'nong'zhan 桂农占
'he'liang'you 和两优
'he'mei'zhan 合美占
'hua'hang'hao 华航号
'hua'zhe'you 华浙优
'hua'zhe'you'hao 华浙优号
'hui'liang'you 徽两优
'ji'feng'you 吉丰优
'ji'jing 吉粳
'ji'you 吉优
'ji'you'hang 吉优航
'jia'feng'you'hao 嘉丰优号
'jia'he'you'hao 嘉禾优号
'jia'you'zhong'ke 嘉优中科
'jin'nong'si'miao 金农丝苗
'jing'liang'you 晶两优
'jing'liang'you'hua'zhan 晶两优华占
'jing'you'hua'zhen 旌优华珍
'lian'jing'hao 连粳号
'liang'you 两优
'liang'you'hao 两优号
'liang'you'hua'zhan 两优华占
'liao'xing'hao 辽星号
'liao'you 辽优
'ling'liang'you 陵两优
'long'feng'you 龙丰优
'long'jing 龙粳
'long'liang'you 隆两优
'long'liang'you'hua'zhan 隆两优华占
'lu'you 泸优
'luo'you'hao 珞优号
'nan'jing 南粳
'nei'xiang'you'hao 内香优号
'ning'jing'hao 宁粳号
'ning'xiang'jing'hao 宁香粳号
'pin'xiang'you'mei'zhen 品香优美珍
'pin'xiang'you'tong'zhen 品香优秱珍
'qing'xiang'you'xiang 青香优香
'quan'you 荃优
'rong'you 荣优
'shen'liang'you 深两优
'shen'you 深优
'shu'you 蜀优
'shun'da 舜达
'si'dao 泗稻
'song'jing 松粳
'su'ken 苏垦
'tai'you 泰优
'te'you 特优
'tian'you 天优
'tian'you'hua'zhan 天优华占
'wan'tai'you 万太优
'wan'tai'you'mei'zhan 万太优美占
'wei'liang'you 玮两优
'wu'feng'you 五丰优
'wu'you 五优
'wu'you'hang 五优航
'xin'liang'you'hao 新两优号
'yan'jing'hao 盐粳号
'yang'liang'you'hao 扬两优号
'yi'xiang 宜香
'yi'xiang'you 宜香优
'yi'you 宜优
'yong'you 甬优
'you'ming 优明
'yu'xiang'you'zhan 玉香油占
'yue'he'you 粤禾优
'zhe'jing'you 浙粳优
'zhe'you 浙优
'zhen'dao 镇稻
'zhen'dao'hao 镇稻号
'zhong'jia'zao 中嘉早
'zhong'zao 中早
'zhong'zhe'you'hao 中浙优号
'zhong'zu 中组
'zhu'liang'you 株两优
'zhun'liang'you 准两优
