'a'bu'dun 阿部敦
'an'sha'zhe 暗杀者
'ao'er'jia 奥尔加
'ao'er'jia'zhen'ning 奥尔加珍宁
'ba'si'di'an 巴斯蒂安
'bao'zhi'zong'yi'lang 保志总一朗
'bu'lai'en'bo'shi 布赖恩博士
'cao'yin'ling 草阴稜
'da'chuan'tou 大川透
'da'yuan'sha'ye'xiang 大原沙耶香
'di'shi'qi'ji'dong'di'du'guan'li'qu 第十七极东帝都管理区
'du'shi'shu 渡世术
'feng'cheng'che 风澄彻
'jin'yuan'shou'zi 金元寿子
'lao'xu 老虚
'lei'mi'ao'de'na 雷米奥德纳
'long'dan'jing'yin 龙胆静音
'lu'sha 露莎
'luo'han'tang'xu 罗汉堂旭
'pian'tong'jing'hua 片桐镜华
'pian'tong'jing'mo 片桐镜磨
'pian'tong'zu 片桐组
'qiang'shen'si'tuo'la'ta'si 枪神斯托拉塔斯
'qiao'na'sen'xi'si'mo'er 乔纳森西斯摩尔
'qiu'yuan'yang'jie 秋元羊介
'shi'kong'yue'jing'zuo'zhan 时空越境作战
'shuang'qiang'ji'dou 双枪激斗
'shui'shu'nai'nai 水树奈奈
'shui'xi'jiu'mei 水潟九美
'si'li'ni'wa'se'sen 斯里尼瓦瑟森
'teng'tian'qian 藤田茜
'teng'tian'xiao 藤田咲
'xi'tian'ya'yi 西田雅一
'xiao'lin'you'mei'zi 小林由美子
'xiao'shan'li'ye 小山力也
'xiao'sheng'mo'li 筱生茉莉
'xu'yuan'xuan 虚渊玄
'ya'lun'bo'le'si 亚伦伯勒斯
'yi'lai'mo'li'ye 伊濑茉莉也
'zao'jian'sha'zhi 早见沙织
'ze'cheng'mei'xue 泽城美雪
'zhen'jia'bu'zhu'shui 真加部主水
'zhi'tian'jia'nai 植田佳奈
'zi'an'wu'ren 子安武人
