'bang'zhu'zheng'ren'hui'yi 帮助证人回忆
'bei'gao'bu'chong'zheng'ju'de'gui'ding 被告补充证据的规定
'bei'gao'bu'chu'ting'ying'su'de'chu'li 被告不出庭应诉的处理
'bei'gao'de'ju'zheng'qi'xian 被告的举证期限
'bei'gao'ju'zheng'de'fan'wei 被告举证的范围
'bei'gao'ju'zheng'de'xian'zhi 被告举证的限制
'bei'gao'lv'xing'ju'zheng'ze'ren'de'biao'zhun 被告履行举证责任的标准
'bei'gao'shu'mian'da'bian'yu'da'bian'shi'quan 被告书面答辩与答辩失权
'bei'hai'ren'chen'shu 被害人陈述
'bei'hai'ren'chen'shu'de'jie'ding 被害人陈述的界定
'bei'hai'ren'chen'shu'de'ren'zheng 被害人陈述的认证
'bei'hai'ren'chen'shu'de'shou'ji 被害人陈述的收集
'bei'hai'ren'chen'shu'de'zuo'yong 被害人陈述的作用
'bei'hai'ren'chen'shu'zhu'ti'de'lei'xing 被害人陈述主体的类型
'bei'hai'ren'xun'wen'de'cheng'xu 被害人询问的程序
'bei'hai'ren'xun'wen'de'yao'dian 被害人询问的要点
'bei'hai'ren'xun'wen'de'zhu'ti 被害人询问的主体
'bei'hai'ren'zhu'ti'di'wei'de'fa'lv'bao'zhang 被害人主体地位的法律保障
'ben'zheng'yu'fan'zheng 本证与反证
'bi'ji 笔迹
'bian'lun'zhu'yi 辩论主义
'bian'ren'fa 辨认法
'bu'chong'jian'ding'jie'lun 补充鉴定结论
'bu'jian'duan'shen'li'yuan'ze 不间断审理原则
'bu'qiang'zheng'ju'de'yun'yong 补强证据的运用
'bu'qiang'zheng'ju'gui'ze 补强证据规则
'bu'zuo'wei'an'jian'de'ju'zheng'ze'ren'wen'ti 不作为案件的举证责任问题
'ce'huang'yi 测谎仪
'chao'guo'qi'su'qi'xian'de'ju'zheng 超过起诉期限的举证
'che'liang'hen'ji 车辆痕迹
'chen'mo'quan 沉默权
'cheng'xu'fa'shi'shi'he'zheng'ju'shi'shi 程序法事实和证据事实
'cheng'xu'xing'shi'shi'de'ju'zheng'ze'ren 程序性事实的举证责任
'chong'xin'jian'ding 重新鉴定
'chong'xin'jian'ding'jie'lun 重新鉴定结论
'chu'fen'xing'shu'zheng'yu'bao'dao'xing'shu'zheng 处分性书证与报道性书证
'chu'ting'fei'yong'bu'chang'quan 出庭费用补偿权
'chuan'lai'zheng'ju'de'yun'yong 传来证据的运用
'chuan'wen'zheng'ju 传闻证据
'chuan'wen'zheng'ju'gui'ze 传闻证据规则
'chuan'wen'zheng'ju'pai'chu'gui'ze 传闻证据排除规则
'dai'li'ren'zi'ren 代理人自认
