'cai'hu'ya'dou'li 才虎芽斗吏
'chao'neng'li'zhe 超能力者
'chi'jian'hua'shou'mi 池见华寿弥
'die'ye'yu'lv 蝶野雨绿
'hai'teng'shun 海藤瞬
'li'bu'tian'yi'wu 梨步田依舞
'ling'neng'li'zhe 灵能力者
'liu'shen'tong 六神通
'meng'yuan'zhi'yu 梦原知予
'mu'liang'qian'li 目良千里
'niao'shu'ling'tai 鸟束零太
'o'hu 哦呼
'qi'mu'guo'chun 齐木国春
'qi'mu'jiu'liu'mei 齐木久留美
'qi'mu'jiu'mei 齐木久美
'qi'mu'kong'zhu 齐木空助
'qi'mu'nan'xiong 齐木楠雄
'qi'mu'xiong'wu'lang 齐木熊五郎
'ran'tang'li 燃堂力
'wa'gu'xu'ya'lian 漥谷须亚莲
'xiang'bu'ming 相卜命
'zhao'qiao'xin 照桥信
'zhao'qiao'xin'mei 照桥心美
