'chao'ku'gua 炒苦瓜
'chao'yin'xing'guo 炒银杏果
'cu'yan'an'kang'yu'gan 醋腌鮟鱇鱼肝
'cun'qi'he'ge'zi 村崎和歌子
'hai'dan'chao'shui'qin 海胆炒水芹
'he'ge'zi 和歌子
'jiu'zheng'hua'ge 酒蒸花蛤
'kao'chuan 烤串
'pu'xiu 噗咻
'pu'xiu'xiu'xiu'xiu'xiu'xiu'xiu 噗咻咻咻咻咻咻咻
'tu'dou'sha'la 土豆沙拉
'xie'huang 蟹黄
'yan'kao'gui'yu 盐烤鲑鱼
'yuan'dong'duo'xian'yu 远东多线鱼
'ze'cheng'mei'xue 沢城美雪
'zha'ji 炸鸡
'zha'lu'hui'chuan 炸芦荟串
