'dan'ce'hu'lue 单侧忽略
'hou'shen 后伸
'jian'fan'she 腱反射
'jian'guan'jie 肩关节
'jing'luan'xing'nao'tan 痉挛性脑瘫
'kou'chu'zhen'shi'yan 扣触诊实验
'kuan'guan'jie 髋关节
'kuan'xi'huai'zu'jiao'xing'qi 髋膝踝足矫形器
'mu'zhi 踇趾
'nei'shou 内收
'qian'qu 前屈
'shen'ji'jin'zhang'shi'yan 伸肌紧张实验
'shi'yu 失语
'ti'zhong'shi'yan 提踵实验
'wai'zhan 外展
'xi'huai'zu'jiao'xing'qi 膝踝足矫形器
'xia'yun'dong'shen'jing'yuan 下运动神经元
'zhi'tui'tai'gao 直腿抬高
'zhui'ti'shu 锥体束
