'ai'zhi'xian 爱知县
'bang'zhong'shen'zhi 浜中深志
'chang'gu'bu'cong 长谷部聪
'chang'ke'ji 长克己
'chuang'ping'jun 创平君
'cun'tian'tai'zhi 村田太志
'dao'tian'wen'zi 岛田文子
'fei'zhen'jia'dao 妃真加岛
'gan'xiang'gu 干香菇
'gong'yong'fu'yan 弓永富彦
'guo'zhi'tao'zi 国枝桃子
'jia'fei'tian'yu'zi 甲斐田裕子
'jia'lai'kang'zhi 加濑康之
'ku'jiang'you'yi 堀江由衣
'ling'mu'da'yang 铃木达央
'meng'hui 萌绘
'mu'hu'yi'chui 木户衣吹
'na'gu'ye'da'xue 那古野大学
'ri'li'yang'zi 日笠阳子
'sang'dao'fa'zi 桑岛法子
'shan'gen'xing'hong 山根幸宏
'shui'gu'zhu'shui 水谷主税
'wang'yue'jun'shu 望月俊树
'xi'chuan'chuang'ping 犀川创平
'xi'chuan'yan'jiu'shi 犀川研究室
'xi'zhi'yuan 西之园
'xi'zhi'yuan'meng'hui 西之园萌绘
'xia'qi'hong'shi 下崎纮史
'xiao'lin'sha'ye'xiang 小林沙耶香
'xiao'ye'jun'jie 咲野俊介
'xin'teng'qing'er 新藤清二
'xin'teng'yu'jian'zi 新藤裕见子
'yi'teng'jian'tai'lang 伊藤健太郎
'yi'tong'shi'jin'zi 仪同世津子
'yi'wan'gang'du 伊丸冈笃
'zhen'he'tian'si'ji 真贺田四季
'zhen'he'tian'wei'lai 真贺田未来
'zhen'he'tian'yan'jiu'suo 真贺田研究所
'zhong'qi'dun'mei 种崎敦美
'zou'fang'ye 诹访野
'zuo'zuo'mu'min 佐佐木敏
