'a'er'bi 阿尔必
'a'he'zu 阿合组
'a'pu'te 阿普特
'ai'jia'shan'jie 艾家山阶
'an'jia'la 安加拉
'an'ni 安尼
'ao'lun'ni'er 奥伦尼尔
'ao'tao 奥陶
'ba'chu 巴楚
'ba'dao'wan 八道湾
'ba'dong 巴东
'ba'lie'mu 巴列姆
'ba'rou 巴柔
'ba'shen'ji'qi'ke 巴什基奇克
'ba'tong 巴通
'ba'xi'gai 巴西盖
'bai'e 白垩
'bai'yang'he 白杨河
'bai'yun'zhi 白云质
'bao'ceng 薄层
'bao'mei'ceng 薄煤层
'bei'li'ya'si 贝里亚斯
'bu'deng'hou 不等厚
'cai'yang 采样
'ce'jing 测井
'ceng'hao 层号
'ceng'wei 层位
'ceng'xu 层序
'ceng'xu'di'ceng 层序地层
'chan'yu 产于
'chi'jin'bao 赤金堡
'chong'shua'mian 冲刷面
'chu'ceng 储层
'cu'sha'yan 粗砂岩
'da'gang 大港
'da'hong'quan 大红圈
'da'rui'wei'er'jie 达瑞威尔阶
'da'wan'jie 大湾阶
'da'xi'ku'mu'zu 达西库木组
'dao'bao'wan'jie 道保湾阶
'di'ceng 地层
'di'ceng'fen'qu 地层分区
'di'ceng'xiao'qu 地层小区
'di'ceng'xue 地层学
'di'jie 底界
'e'huo'bu'la'ke'zu 俄霍布拉克组
'er'die 二叠
'fan'lan'yin 凡兰吟
'fen'ceng 分层
'fen'sha'yan 粉砂岩
'fen'sha'zhi 粉砂质
'fen'xi'hao 分析号
'feng'he'dai 缝合带
'gai'zhi 钙质
'gong'xing'shan'zu 弓形山组
'gu'di'li 古地理
'gu'long 古隆
'gu'sheng'dai 古生代
'hai'xiang 海相
'han'xia 旱峡
'hao'jia'gou 郝家沟
'he'tang 赫唐
'heng'xiang 横向
'hong'liu'xia 红柳峡
'hou'ceng'zhuang 厚层状
'hu'ceng 互层
'hua'hai 花海
'huang'shan'jie 黄山街
'hui'yan 灰岩
'hui'zhi 灰质
'hui'zhi'yun'yan 灰质云岩
'ji'mo'li 基末利
'ji'mu'sa'er 吉木萨尔
'jiao'hu'xiang 交互相
'jie'he 结核
'jie'jing'yun'yan 结晶云岩
'jing'di 井底
'jing'duan 井段
'jing'hao 井号
'jing'xia 井下
'jiu'dong 酒东
'jiu'quan 酒泉
'jiu'xi 酒西
'ju'hou'ceng 巨厚层
'ju'hou'ceng'zhuang 巨厚层状
'ka'ben 卡奔
'ka'la'dao'ke 卡拉道克
'ka'luo 卡洛
'ka'ni 卡尼
'ka'pu'sha'liang'qun 卡普沙良群
'kan'pan 坎潘
'kang'ni'ya'ke 康尼亚克
'ke'la'su'qun 克拉苏群
'ke'li'hui'yan 颗粒灰岩
'ke'ping 柯坪
'ke'ping'ta'ge'zu 柯坪塔格组
'ke'zi'le'su'qun 克孜勒苏群
'ku'che'he 库车河
'ku'er'le 库尔勒
'ku'long'shan 窟窿山
'ku'nan 库南
'kuan'tai'shan 宽台山
'lao'jun'miao 老君庙
'liang'jing 亮晶
'liang'li'ta'ge'zu 良里塔格组
'liu'gou'zhuang 柳沟庄
'lu'tou 露头
'lu'xiang 陆相
'lun'gu 轮古
'lun'nan 轮南
'lv'tu'yan 铝土岩
'ma'can 玛参
'ma'si'te'li'he'te 马斯特里赫特
'mai'cang'shi 埋藏史
'mai'shen 埋深
'man'jia'er 满加尔
'man'jia'er'qun 满加尔群
'man'jia'er'zu 满加尔组
'mei'hu 煤核
'mei'xian 煤线
'na'miu'er 纳缪尔
