'a'bo'luo 阿波罗
'a'er'ge'xiao'ying'xiong 阿尔戈小英雄
'a'yi'sha 阿伊莎
'ai'ren 矮人
'ai'si 艾丝
'ai'si'hua'lun'si'tan 艾丝华伦斯坦
'ai'yi'na 埃伊娜
'ai'yi'na'zu'er 埃伊娜祖尔
'ao'ta 奥塔
'ba'zhi'bai'niao 八咫白鸟
'ba'zhi'hei'niao 八咫黑鸟
'ban'shou'ren'qun 半兽人群
'bei'er 贝尔
'bei'er'ke'lang'ni 贝尔克朗尼
'bei'jie'de'tian'zai 北街的天灾
'bo'te'luo'jia 伯特罗加
'bu'dou'yu'hun 布都御魂
'bu'leng 不冷
'can'xue 残雪
'chu'nv'shen 处女神
'da'fan'gong 大反攻
'da'he'ming 大和命
'da'qie'duan 大切断
'da're'dou 大热斗
'da'sen'teng'ye 大森藤野
'da'xi'sha'zhi 大西沙织
'di'xia'cheng 地下城
'dong'yun 东云
'du'shi'zui'qiang'mo'dao'shi 都市最强魔导师
'du'yan'de'ju'shi 独眼的巨师
'fan'qie'xiao'zi 蕃茄小子
'fan'qu'dao 反曲刀
'fen'en'dan'na 芬恩丹纳
'fen'hua'zhao'luan 愤化招乱
'feng'ling'ji'zou 风灵疾走
'fu'lei'ya 芙蕾雅
'fu'luo'si'wei'er'te 弗洛斯维尔特
'gang'ben'xin'yan 冈本信彦
'he'fei'si'tuo'si 赫菲斯托丝
'he'si'ti'ya 赫斯缇雅
'he'si'ti'ya'zhi'ren 赫斯缇雅之刃
'hu'song'yao 户松遥
'hu'zhuang'she'xian 弧状射线
'hua'lun'mou'mou'jun 华伦某某君
'hui'gu'niang'bian'shen 灰姑娘变身
'huo'yan'fu'te 火焰伏特
'ji'feng 疾风
'jia'lei'si'lan'de'luo'ke 加雷斯兰德罗克
'jia'ni'sa'juan'zu 迦尼萨眷族
'jian'ji 剑姬
'jian'yu'lei 建御雷
'jing'ling'zhi'huan 精灵之环
'jing'yu 精愈
'jiu'bao'you'li'xiang 久保由利香
'jiu'mo'ji 九魔姬
'ju'ru'luo'li 巨乳萝莉
'juan'zu 眷族
'jue'wang'zhi'jian 绝望之剑
'jue'ying 绝影
'ke'luo'zuo'de'mo'jian 克洛佐的魔剑
'ke'luo'zuo'zhi'xue 克罗佐之血
'kuang'hua'zhao'luan 狂化招乱
'kuang'xi'fen'bu'er'zhi'dong 狂喜芬布尔之冬
'lan'se'si'dai 蓝色丝带
'lang'ren 狼人
'lei'fei'ya'wei'li'de'si 蕾菲亚维里德丝
'lei'wa'ting 雷瓦汀
'li'li 莉莉
'li'li'lu'ka'e'de 莉莉露卡厄德
'li'wei'li'ya 里维莉雅
'li'wei'li'ya'liu'si'ao'er'wei 里维莉亚琉斯奥尔维
'lian'ji'huo'qiang 连击火枪
'lie'ren 猎人
'liu'li'ang 琉利昂
'luo'ji 洛基
'luo'ji'juan'zu 洛基眷族
'luo'li'shen 萝莉神
'mao'xian'zhe 冒险者
'mei'zhi'nv'shen 美之女神
'meng'niu'sha'shou 猛牛杀手
'meng'zhe 猛者
'mi'gong'du'shi 迷宫都市
'mi'nuo'tao'luo'si 米诺陶洛斯
'mo'dao'shi 魔导师
'mo'jian 魔剑
'mo'zhang 魔杖
'mu'hou'gong'chen 幕后功臣
'nei'tian'zhen'li 内田真礼
'niu'ruo'wan 牛若丸
'niu'ruo'wan'er'shi 牛若丸贰式
'nu'she 怒蛇
'nv'jian'shi 女剑士
'nv'shen 女神
'ou'la'li 欧拉丽
'po'huai'kuang 破坏狂
'qian'zhi'jing'ling 千之精灵
'quan'zu'shou'ren 犬族兽人
'ri'li'yang'zi 日笠阳子
'san'tiao'nai'chun'ji 三条乃春姬
'shang'shen 上神
'shang'shen'da'ren 上神大人
'shen'jiu 神酒
'shi'jie'zui'kuai'tu'zi 世界最快兔子
'shi'shang'jing'xiang 石上静香
'shui'lai'qi 水濑祈
'si'mu'zhi'qing 思慕之情
'song'gang'zhen'cheng 松冈祯丞
'su'mo'juan'zu 苏摩眷族
'ti'ou'na'xi'liu'ti 缇欧娜席琉提
'ti'ou'nie'xi'liu'ti 缇欧涅席琉提
'tian'jie'de'duan'zao'shen'jiang 天界的锻造神匠
'wan'bao'chui 万宝槌
'wei'er'fu'ke'luo'zuo 韦尔夫克洛佐
'wei'wan'xin'ren 未完新人
'wu'er'jia 乌尔加
'wu'xing'gui'huo 无形鬼火
'xi'er'fu'luo'wa 希儿福罗瓦
'xi'gu'jia'zheng 细谷佳正
'xian'jing 仙精
'xiao'nu'pao 小弩炮
'xiao'ren'zu 小人族
'xing'yun 幸运
'xiong'lang 凶狼
'xiong'meng'zhi'mo'qiang 凶猛之魔枪
'ya'ma'xun 亚马逊
'yao'jing'wang'zu 妖精王族
'yao'jing'zhui'zou 妖精追奏
'ye'meng'jia'de 耶梦加得
'yi'chang'kang'xing 异常抗性
'yi'si'ta 伊丝塔
'yi'xin'chong'jing 一心憧憬
'yong'zhe 勇者
'zai'di'xia'cheng'xie'hou'mi'ren'nv'zhu'jue 在地下城邂逅迷人女主角
'zao'jian'sha'zhi 早见沙织
'zha'shu'qiu 炸薯球
'zhan'fu 战斧
'zhi'yuan'zhe 支援者
'zhong'jie 重杰
'zhou'si 宙斯
