'bao'xuan 爆旋
'fei'cheng 飞城
'fen'shen'zhan 分身战
'ge'shan'da'niu 隔山打牛
'gong'cheng'zhan 攻城战
'jie'dao'sha'ren 借刀杀人
'lao'mo'xiang'yi'ke'ding'shi'zha'dan 老末像一颗定时炸弹
'qian'jin'zha 千斤闸
'qian'jin'zhui 千斤坠
'si'da'tian'wang 四大天王
'xiao'gai'mie'ni'quan'jia 小盖灭你全家
'yi'bu'peng'er'bu'sha'san'kai'sha 一不碰二不杀三开杀
'yi'bu'sha'er'kai'sha 一不杀二开杀
